id,name,alt_name,region,country,latitude,longitude
FO1,Tórshavn,,Suðurstreymoy,FO,62.0120,-6.7680
FO2,Klaksvík,,Norðoyar,FO,62.2266,-6.5853
FO3,Hoyvík,,Suðurstreymoy,FO,62.0329,-6.7766
FO4,Argir,,Suðurstreymoy,FO,61.9972,-6.7774
FO5,Fuglafjørður,,Eysturoy,FO,62.2439,-6.8156
FO6,Vágur,,Suðuroy,FO,61.4747,-6.8072
FO7,Vestmanna,,Norðurstreymoy,FO,62.1560,-7.1660
FO8,Tvøroyri,,Suðuroy,FO,61.5558,-6.8146
FO9,Miðvágur,,Vágar,FO,62.0491,-7.1892
FO10,Sørvágur,,Vágar,FO,62.0717,-7.3098
FO11,Saltangará,,Eysturoy,FO,62.1169,-6.7188
FO12,Leirvík,,Eysturoy,FO,62.2096,-6.7078
FO13,Sandavágur,,Vágar,FO,62.0540,-7.1526
FO14,Toftir,,Eysturoy,FO,62.0916,-6.7379
FO15,Strendur,,Eysturoy,FO,62.1076,-6.7656
FO16,Kollafjørður,,Norðurstreymoy,FO,62.1177,-6.9006
FO17,Skála,,Eysturoy,FO,62.1574,-6.7817
FO18,Eiði,,Eysturoy,FO,62.3004,-7.0894
FO19,Hvalba,,Suðuroy,FO,61.6003,-6.9585
FO20,Norðragøta,,Eysturoy,FO,62.1985,-6.7402
FO21,Sandur,,Sandoy,FO,61.8348,-6.8176
FO22,Skopun,,Sandoy,FO,61.9038,-6.8867
FO23,Runavík,,Eysturoy,FO,62.1076,-6.7211
FO24,Trongisvágur,,Suðuroy,FO,61.5640,-6.8440
FO25,Syðrugøta,,Eysturoy,FO,62.1854,-6.7559
FO26,Glyvrar,,Eysturoy,FO,62.1286,-6.7241
FO27,Kvívík,,Norðurstreymoy,FO,62.1171,-7.0745
FO28,Viðareiði,,Norðoyar,FO,62.3600,-6.5330
FO29,Søldarfjørður,,Eysturoy,FO,62.1601,-6.7539
FO30,Porkeri,,Suðuroy,FO,61.4817,-6.7455
FO31,Hósvík,,Norðurstreymoy,FO,62.1515,-6.9468
FO32,Norðskáli,,Eysturoy,FO,62.2192,-7.0104
FO33,Nes,,Eysturoy,FO,62.0812,-6.7295
FO34,Rituvík,,Eysturoy,FO,62.1074,-6.6842
FO35,Hvannasund,,Norðoyar,FO,62.2973,-6.5197
FO36,Sumba,,Suðuroy,FO,61.4039,-6.7133
FO37,Nólsoy,,Suðurstreymoy,FO,62.0096,-6.6744
FO38,Kaldbak,,Suðurstreymoy,FO,62.0611,-6.8287
FO39,Hvalvík,,Norðurstreymoy,FO,62.1871,-7.0354
FO40,Streymnes,,Norðurstreymoy,FO,62.1914,-7.0316
FO41,Norðdepil,,Norðoyar,FO,62.2947,-6.5263
FO42,Velbastaður,,Suðurstreymoy,FO,61.9831,-6.8541
FO43,Skálavík,,Sandoy,FO,61.8297,-6.6658
FO44,Oyndarfjørður,,Eysturoy,FO,62.2769,-6.8540
FO45,Oyri,,Eysturoy,FO,62.1910,-6.9864
FO46,Saltnes,,Eysturoy,FO,62.1090,-6.7425
FO47,Haldórsvík,,Norðurstreymoy,FO,62.2755,-7.0935
FO48,Signabøur,,Norðurstreymoy,FO,62.0967,-6.9228
FO49,Lambi,,Eysturoy,FO,62.1016,-7.6622
FO50,Froðba,,Suðuroy,FO,61.5470,-6.7710
FO51,Hov,,Suðuroy,FO,61.5068,-6.7624
FO52,Leynar,,Norðurstreymoy,FO,62.1170,-7.0424
FO53,Oyrarbakki,,Eysturoy,FO,62.2026,-6.9972
FO54,Æðuvík,,Eysturoy,FO,62.0693,-6.6939
FO55,Fámjin,,Suðuroy,FO,61.5249,-6.8786
FO56,Skálabotnur,,Eysturoy,FO,62.1940,-6.8541
FO57,Sandvík,,Suðuroy,FO,61.6330,-6.9290
FO58,Hvítanes,,Suðurstreymoy,FO,62.0446,-6.7726
FO59,Norðoyri,,Norðoyar,FO,62.2126,-6.5439
FO60,Lopra,,Suðuroy,FO,61.4436,-6.7710
FO61,Kunoy,,Norðoyar,FO,62.3089,-6.6598
FO62,Húsavík,,Sandoy,FO,61.8096,-6.6795
FO63,Haraldssund,,Norðoyar,FO,62.2717,-6.6045
FO64,Funningur,,Eysturoy,FO,62.2869,-6.9679
FO65,Kirkjubøur,,Suðurstreymoy,FO,61.9527,-6.7942
FO66,Innan Glyvur,,Eysturoy,FO,62.1366,-6.7595
FO67,Tjørnuvík,,Norðurstreymoy,FO,62.2890,-7.1487
FO68,Bøur,,Vágar,FO,62.0863,-7.3696
FO69,Øravíkarlíð,,Suðuroy,FO,61.5500,-6.8333
FO70,Selatrað,,Eysturoy,FO,62.1590,-6.8780
FO71,Vatnsoyrar,,Vágar,FO,62.0740,-7.2480
FO72,Funningsfjørður,,Eysturoy,FO,62.2381,-6.9316
FO73,Skipanes,,Eysturoy,FO,62.1733,-6.7705
FO74,Árnafjørður,,Norðoyar,FO,62.2552,-6.5364
FO75,Válur,,Norðurstreymoy,FO,62.1499,-7.1516
FO76,Húsar,,Norðoyar,FO,62.2652,-6.6963
FO77,Skúgvoy,,Sandoy,FO,61.7664,-6.8270
FO78,Gøtugjógv,,Eysturoy,FO,62.1919,-6.7487
FO79,Oyrareingir,,Norðurstreymoy,FO,62.0997,-6.9513
FO80,Dalur,,Sandoy,FO,61.7843,-6.6785
FO81,Gjógv,,Eysturoy,FO,62.3249,-6.9482
FO82,Svínoy,,Norðoyar,FO,62.2694,-6.3703
FO83,Mikladalur,,Norðoyar,FO,62.3350,-6.7660
FO84,Kolbanargjógv,,Eysturoy,FO,62.1093,-6.7892
FO85,Langasandur,,Norðurstreymoy,FO,62.2316,-7.0486
FO86,Stykkið,,Norðurstreymoy,FO,62.1155,-7.0513
FO87,Øravík,,Suðuroy,FO,61.5327,-6.8112
FO88,undir Gøtueiði,,Eysturoy,FO,62.1754,-6.7753
FO89,Hestur,,Suðurstreymoy,FO,61.9508,-6.8906
FO90,Ljósá,,Eysturoy,FO,62.2675,-7.0618
FO91,Svínáir,,Eysturoy,FO,62.2298,-7.0257
FO92,Akrar,,Suðuroy,FO,61.4557,-6.7590
FO93,Elduvík,,Eysturoy,FO,62.2821,-6.9117
FO94,Morskranes,,Eysturoy,FO,62.1298,-6.8399
FO95,Kirkja,,Norðoyar,FO,62.3182,-6.3165
FO96,Saksun,,Norðurstreymoy,FO,62.2466,-7.1777
FO97,Gásadalur,,Vágar,FO,62.1104,-7.4380
FO98,Trøllanes,,Norðoyar,FO,62.3612,-6.7888
FO99,Hellur,,Eysturoy,FO,62.1444,-7.4394
FO100,Mykines,,Vágar,FO,62.1045,-7.6047
FO101,Hattarvík,,Norðoyar,FO,62.3295,-6.2750
FO102,Norðradalur,,Suðurstreymoy,FO,62.0401,-6.9269
FO103,Ánir,,Norðoyar,FO,62.2547,-6.5794
FO104,Skælingur,,Norðurstreymoy,FO,62.0960,-7.0082
FO105,Lambareiði,,Eysturoy,FO,62.1393,-6.7306
FO106,Syðradalur,,Norðoyar,FO,62.0187,-6.9124
FO107,Kaldbaksbotnur,,Suðurstreymoy,FO,62.0654,-6.9127
FO108,Stóra Dímun,,Sandoy,FO,61.6946,-6.7566
FO109,Syðradalur,,Suðurstreymoy,FO,62.0187,-6.9124
FO110,Norðtoftir,,Norðoyar,FO,62.2755,-6.5157
FO111,Skarvanes,,Sandoy,FO,61.7936,-6.7475
FO112,Sund,,Suðurstreymoy,FO,62.0491,-6.8460
FO113,Depil,,Norðoyar,FO,62.2866,-6.5292
