id,name,alt_name,region,country,latitude,longitude
FI1,Brändö,,Åland Islands,FI,60.4075,21.0786
FI2,Eckerö,,Åland Islands,FI,60.2208,19.5589
FI3,Finström,,Åland Islands,FI,60.2342,20.1139
FI4,Föglö,,Åland Islands,FI,60.0989,20.3728
FI5,Geta,,Åland Islands,FI,60.4183,19.7167
FI6,Hammarland,,Åland Islands,FI,60.2447,19.6892
FI7,Jomala,,Åland Islands,FI,60.1181,19.8989
FI8,Kumlinge,,Åland Islands,FI,60.3992,20.7692
FI9,Lemland,,Åland Islands,FI,60.0925,20.1544
FI10,Mariehamn,,Åland Islands,FI,60.1026,19.9348
FI11,Saltvik,,Åland Islands,FI,60.3575,20.1547
FI12,Sund,,Åland Islands,FI,60.2361,20.2156
FI13,Äänekoski,,Central Finland,FI,62.6000,25.7333
FI14,Hankasalmi,,Central Finland,FI,62.3833,26.4333
FI15,Jämsä,,Central Finland,FI,61.8642,25.1900
FI16,Jämsänkoski,,Central Finland,FI,61.9190,25.1701
FI17,Joutsa,,Central Finland,FI,61.7333,26.1167
FI18,Jyväskylä,,Central Finland,FI,62.2415,25.7209
FI19,Kannonkoski,,Central Finland,FI,62.9667,25.2500
FI20,Karstula,,Central Finland,FI,62.8667,24.7833
FI21,Keuruu,,Central Finland,FI,62.2667,24.7000
FI22,Kinnula,,Central Finland,FI,63.3833,24.9500
FI23,Kivijärvi,,Central Finland,FI,63.1198,25.0784
FI24,Konnevesi,,Central Finland,FI,62.6167,26.3167
FI25,Korpilahti,,Central Finland,FI,62.0167,25.5500
FI26,Kuhmoinen,,Central Finland,FI,61.5667,25.1833
FI27,Kyyjärvi,,Central Finland,FI,63.0333,24.5667
FI28,Laukaa,,Central Finland,FI,62.4141,25.9519
FI29,Leivonmäki,,Central Finland,FI,61.9120,26.1280
FI30,Luhanka,,Central Finland,FI,61.7968,25.7046
FI31,Multia,,Central Finland,FI,62.4167,24.7833
FI32,Muurame,,Central Finland,FI,62.1333,25.6667
FI33,Petäjävesi,,Central Finland,FI,62.2500,25.2000
FI34,Pihtipudas,,Central Finland,FI,63.3833,25.5667
FI35,Pylkönmäki,,Central Finland,FI,62.6667,24.8000
FI36,Saarijärvi,,Central Finland,FI,62.7049,25.2540
FI37,Säynätsalo,,Central Finland,FI,62.1403,25.7695
FI38,Sumiainen,,Central Finland,FI,62.6574,26.0464
FI39,Suolahti,,Central Finland,FI,62.5642,25.8536
FI40,Toivakka,,Central Finland,FI,62.1000,26.0833
FI41,Uurainen,,Central Finland,FI,62.5000,25.4500
FI42,Viitasaari,,Central Finland,FI,63.0667,25.8667
FI43,Halsua,,Central Ostrobothnia,FI,63.4667,24.1667
FI44,Kälviä,,Central Ostrobothnia,FI,63.8607,23.4529
FI45,Kannus,,Central Ostrobothnia,FI,63.9000,23.9000
FI46,Kaustinen,,Central Ostrobothnia,FI,63.5488,23.6885
FI47,Kokkola,,Central Ostrobothnia,FI,63.8541,23.5856
FI48,Lestijärvi,,Central Ostrobothnia,FI,63.5333,24.6500
FI49,Lohtaja,,Central Ostrobothnia,FI,64.0247,23.5048
FI50,Perho,,Central Ostrobothnia,FI,63.2167,24.4167
FI51,Toholampi,,Central Ostrobothnia,FI,63.7667,24.2500
FI52,Ullava,,Central Ostrobothnia,FI,63.6000,24.0833
FI53,Veteli,,Central Ostrobothnia,FI,63.4784,23.7829
FI54,Alastaro,,Southwest Finland,FI,60.9500,22.8500
FI55,Askainen,,Southwest Finland,FI,60.5667,21.8667
FI56,Aura,,Southwest Finland,FI,60.6471,22.5876
FI57,Dragsfjärd,,Southwest Finland,FI,60.0667,22.4833
FI58,Halikko,,Southwest Finland,FI,60.4000,23.0833
FI59,Houtskär,,Southwest Finland,FI,60.2228,21.3722
FI60,Iniö,,Southwest Finland,FI,60.4000,21.4000
FI61,Kaarina,,Southwest Finland,FI,60.4072,22.3690
FI62,Karinainen,,Southwest Finland,FI,60.6667,22.7667
FI63,Kiikala,,Southwest Finland,FI,60.4667,23.5667
FI64,Kimito,,Southwest Finland,FI,60.1605,22.7290
FI65,Kisko,,Southwest Finland,FI,60.2333,23.4833
FI66,Kustavi,,Southwest Finland,FI,60.5453,21.3588
FI67,Kuusjoki,,Southwest Finland,FI,60.5167,23.2000
FI68,Laitila,,Southwest Finland,FI,60.8758,21.6977
FI69,Lemu,,Southwest Finland,FI,60.5667,21.9667
FI70,Lieto,,Southwest Finland,FI,60.5103,22.4618
FI71,Marttila,,Southwest Finland,FI,60.5833,22.9000
FI72,Masku,,Southwest Finland,FI,60.5708,22.0988
FI73,Mellilä,,Southwest Finland,FI,60.7667,22.9500
FI74,Merimasku,,Southwest Finland,FI,60.4833,21.8667
FI75,Mietoinen,,Southwest Finland,FI,60.6333,21.9333
FI76,Muurla,,Southwest Finland,FI,60.3500,23.2833
FI77,Mynämäki,,Southwest Finland,FI,60.6792,21.9927
FI78,Naantali,,Southwest Finland,FI,60.4674,22.0243
FI79,Nagu,,Southwest Finland,FI,60.1938,21.9097
FI80,Nousiainen,,Southwest Finland,FI,60.6042,22.0793
FI81,Oripää,,Southwest Finland,FI,60.8500,22.6833
FI82,Paimio,,Southwest Finland,FI,60.4567,22.6869
FI83,Pargas,,Southwest Finland,FI,60.3067,22.3010
FI84,Perniö,,Southwest Finland,FI,60.2000,23.1333
FI85,Pertteli,,Southwest Finland,FI,60.4333,23.2667
FI86,Piikkiö,,Southwest Finland,FI,60.4248,22.5160
FI87,Pöytyä,,Southwest Finland,FI,60.7667,22.6667
FI88,Pyhäranta,,Southwest Finland,FI,60.9500,21.4500
FI89,Raisio,,Southwest Finland,FI,60.4859,22.1690
FI90,Rusko,,Southwest Finland,FI,60.5333,22.2167
FI91,Rymättylä,,Southwest Finland,FI,60.3766,21.9418
FI92,Salo,,Southwest Finland,FI,60.3833,23.1333
FI93,Särkisalo,,Southwest Finland,FI,60.1139,22.9500
FI94,Sauvo,,Southwest Finland,FI,60.3431,22.6964
FI95,Somero,,Southwest Finland,FI,60.6167,23.5333
FI96,Suomusjärvi,,Southwest Finland,FI,60.3500,23.6500
FI97,Taivassalo,,Southwest Finland,FI,60.5609,21.6164
FI98,Tarvasjoki,,Southwest Finland,FI,60.5833,22.7333
FI99,Turku,,Southwest Finland,FI,60.4515,22.2687
FI100,Uusikaupunki,,Southwest Finland,FI,60.8004,21.4084
FI101,Vahto,,Southwest Finland,FI,60.6000,22.3000
FI102,Väståboland,,Southwest Finland,FI,60.2997,22.3004
FI103,Västanfjärd,,Southwest Finland,FI,60.0500,22.6833
FI104,Vehmaa,,Southwest Finland,FI,60.6833,21.6667
FI105,Velkua,,Southwest Finland,FI,60.4667,21.6667
FI106,Yläne,,Southwest Finland,FI,60.8833,22.4167
FI107,Hyrynsalmi,,Kainuu,FI,64.6667,28.5333
FI108,Kajaani,,Kainuu,FI,64.2273,27.7285
FI109,Kuhmo,,Kainuu,FI,64.1333,29.5167
FI110,Paltamo,,Kainuu,FI,64.4167,27.8333
FI111,Puolanka,,Kainuu,FI,64.8667,27.6667
FI112,Ristijärvi,,Kainuu,FI,64.5000,28.2167
FI113,Sotkamo,,Kainuu,FI,64.1333,28.4167
FI114,Suomussalmi,,Kainuu,FI,64.8869,28.9078
FI115,Vaala,,Kainuu,FI,64.5667,26.8333
FI116,Vuokatti,,Kainuu,FI,64.1447,28.2820
FI117,Vuolijoki,,Kainuu,FI,64.1854,26.9955
FI118,Anjala,,Kymenlaakso,FI,60.6833,26.8333
FI119,Elimäki,,Kymenlaakso,FI,60.7167,26.4667
FI120,Hamina,,Kymenlaakso,FI,60.5697,27.1979
FI121,Iitti,,Kymenlaakso,FI,60.8949,26.3387
FI122,Jaala,,Kymenlaakso,FI,61.0525,26.4812
FI123,Karhula,,Kymenlaakso,FI,60.5216,26.9313
FI124,Kotka,,Kymenlaakso,FI,60.4664,26.9458
FI125,Kouvola,,Kymenlaakso,FI,60.8667,26.7000
FI126,Miehikkälä,,Kymenlaakso,FI,60.6667,27.7000
FI127,Pyhtää,,Kymenlaakso,FI,60.4935,26.5435
FI128,Virojoki,,Kymenlaakso,FI,60.5794,27.7035
FI129,Enontekiö,,Lapland,FI,68.3857,23.6322
FI130,Inari,,Lapland,FI,68.9060,27.0288
FI131,Ivalo,,Lapland,FI,68.6599,27.5389
FI132,Kemi,,Lapland,FI,65.7364,24.5637
FI133,Kemijärvi,,Lapland,FI,66.7131,27.4306
FI134,Keminmaa,,Lapland,FI,65.8016,24.5448
FI135,Kittilä,,Lapland,FI,67.6647,24.8936
FI136,Kolari,,Lapland,FI,67.3305,23.7779
FI137,Muonio,,Lapland,FI,67.9500,23.7000
FI138,Pelkosenniemi,,Lapland,FI,67.1108,27.5106
FI139,Pello,,Lapland,FI,66.7736,23.9626
FI140,Posio,,Lapland,FI,66.1086,28.1719
FI141,Pyhäjärvi,,Lapland,FI,67.0701,27.2176
FI142,Ranua,,Lapland,FI,65.9167,26.5333
FI143,Rovaniemi,,Lapland,FI,66.5000,25.7167
FI144,Salla,,Lapland,FI,66.8333,28.6667
FI145,Savukoski,,Lapland,FI,67.2925,28.1581
FI146,Simo,,Lapland,FI,65.6667,25.0500
FI147,Sodankylä,,Lapland,FI,67.4167,26.6000
FI148,Tervola,,Lapland,FI,66.0833,24.8000
FI149,Tornio,,Lapland,FI,65.8481,24.1466
FI150,Utsjoki,,Lapland,FI,69.9086,27.0284
FI151,Ylitornio,,Lapland,FI,66.3089,23.6773
FI152,Eno,,North Karelia,FI,62.8051,30.1542
FI153,Ilomantsi,,North Karelia,FI,62.6716,30.9328
FI154,Joensuu,,North Karelia,FI,62.6012,29.7632
FI155,Juuka,,North Karelia,FI,63.2333,29.2500
FI156,Kesälahti,,North Karelia,FI,61.8975,29.8349
FI157,Kiihtelysvaara,,North Karelia,FI,62.4953,30.2508
FI158,Kitee,,North Karelia,FI,62.1000,30.1500
FI159,Kontiolahti,,North Karelia,FI,62.7602,29.8471
FI160,Lieksa,,North Karelia,FI,63.3167,30.0167
FI161,Liperi,,North Karelia,FI,62.5333,29.3667
FI162,Nurmes,,North Karelia,FI,63.5421,29.1397
FI163,Outokumpu,,North Karelia,FI,62.7269,29.0159
FI164,Polvijärvi,,North Karelia,FI,62.8500,29.3667
FI165,Pyhäselkä,,North Karelia,FI,62.4333,29.9667
FI166,Rääkkylä,,North Karelia,FI,62.3167,29.6167
FI167,Tohmajärvi,,North Karelia,FI,62.1833,30.3833
FI168,Tuupovaara,,North Karelia,FI,62.4837,30.6273
FI169,Valtimo,,North Karelia,FI,63.6667,28.8000
FI170,Alavieska,,Northern Ostrobothnia,FI,64.1667,24.3000
FI171,Haapajärvi,,Northern Ostrobothnia,FI,63.7500,25.3333
FI172,Haapavesi,,Northern Ostrobothnia,FI,64.1333,25.3667
FI173,Hailuoto,,Northern Ostrobothnia,FI,65.0090,24.7139
FI174,Haukipudas,,Northern Ostrobothnia,FI,65.1765,25.3523
FI175,Himanka,,Northern Ostrobothnia,FI,64.0622,23.6545
FI176,Ii,,Northern Ostrobothnia,FI,65.3174,25.3731
FI177,Kalajoki,,Northern Ostrobothnia,FI,64.2500,23.9500
FI178,Kärsämäki,,Northern Ostrobothnia,FI,63.9667,25.7667
FI179,Kempele,,Northern Ostrobothnia,FI,64.9131,25.5034
FI180,Kestilä,,Northern Ostrobothnia,FI,64.3500,26.2792
FI181,Kiiminki,,Northern Ostrobothnia,FI,65.1314,25.7974
FI182,Kuivaniemi,,Northern Ostrobothnia,FI,65.5785,25.1881
FI183,Kuusamo,,Northern Ostrobothnia,FI,65.9667,29.1833
FI184,Liminka,,Northern Ostrobothnia,FI,64.8099,25.4155
FI185,Lumijoki,,Northern Ostrobothnia,FI,64.8374,25.1861
FI186,Merijärvi,,Northern Ostrobothnia,FI,64.3000,24.4500
FI187,Muhos,,Northern Ostrobothnia,FI,64.8080,25.9931
FI188,Nivala,,Northern Ostrobothnia,FI,63.9167,24.9667
FI189,Oulainen,,Northern Ostrobothnia,FI,64.2667,24.8000
FI190,Oulu,,Northern Ostrobothnia,FI,65.0124,25.4682
FI191,Oulunsalo,,Northern Ostrobothnia,FI,64.9346,25.4112
FI192,Piippola,,Northern Ostrobothnia,FI,64.1667,25.9667
FI193,Pudasjärvi,,Northern Ostrobothnia,FI,65.3833,26.9167
FI194,Pulkkila,,Northern Ostrobothnia,FI,64.2667,25.8667
FI195,Pyhäjärvi,,Northern Ostrobothnia,FI,63.6667,25.9000
FI196,Pyhäjoki,,Northern Ostrobothnia,FI,64.4667,24.2333
FI197,Pyhäntä,,Northern Ostrobothnia,FI,64.1000,26.3167
FI198,Raahe,,Northern Ostrobothnia,FI,64.6833,24.4833
FI199,Rantsila,,Northern Ostrobothnia,FI,64.5061,25.6645
FI200,Reisjärvi,,Northern Ostrobothnia,FI,63.6167,24.9000
FI201,Ruukki,,Northern Ostrobothnia,FI,64.6667,25.1000
FI202,Sievi,,Northern Ostrobothnia,FI,63.9000,24.5000
FI203,Siikajoki,,Northern Ostrobothnia,FI,64.8146,24.7592
FI204,Taivalkoski,,Northern Ostrobothnia,FI,65.5667,28.2500
FI205,Tyrnävä,,Northern Ostrobothnia,FI,64.7647,25.6523
