id,name,alt_name,region,country,latitude,longitude
NO1,Åseral,,Agder,NO,58.6173,7.4112
NO2,Audnedal,,Agder,NO,58.2838,7.3549
NO3,Farsund,,Agder,NO,58.0954,6.8040
NO4,Flekkefjord,,Agder,NO,58.2979,6.6635
NO5,Hægebostad,,Agder,NO,58.3757,7.2197
NO6,Justvik,,Agder,NO,58.1969,8.0311
NO7,Kristiansand,,Agder,NO,58.1464,7.9969
NO8,Kvinesdal,,Agder,NO,58.2389,6.7145
NO9,Liknes,,Agder,NO,58.3122,6.9618
NO10,Lindesnes,,Agder,NO,58.0844,7.3016
NO11,Lyngdal,,Agder,NO,58.1383,7.0684
NO12,Mandal,,Agder,NO,58.0263,7.4501
NO13,Marnardal,,Agder,NO,58.1980,7.5280
NO14,Nodeland,,Agder,NO,58.1552,7.8358
NO15,Sirdal,,Agder,NO,58.6651,6.7159
NO16,Skålevik,,Agder,NO,58.0796,8.0160
NO17,Songdalen,,Agder,NO,58.1527,7.8368
NO18,Søgne,,Agder,NO,58.0966,7.8149
NO19,Strai,,Agder,NO,58.1893,7.9283
NO20,Tonstad,,Agder,NO,58.6626,6.7169
NO21,Tveit,,Agder,NO,58.2337,8.1220
NO22,Vanse,,Agder,NO,58.0981,6.6918
NO23,Vennesla,,Agder,NO,58.3427,7.9760
NO24,Vestbygd,,Agder,NO,58.0999,6.5870
NO25,Vigeland,,Agder,NO,58.0844,7.3050
NO26,Alvdal,,Innlandet,NO,62.1085,10.6348
NO27,Åmot,,Innlandet,NO,61.1320,11.3733
NO28,Åsnes,,Innlandet,NO,60.6136,12.0120
NO29,Bagn,,Innlandet,NO,60.8225,9.5521
NO30,Brumunddal,,Innlandet,NO,60.8810,10.9395
NO31,Dokka,,Innlandet,NO,60.8350,10.0736
NO32,Dombås,,Innlandet,NO,62.0755,9.1279
NO33,Dovre,,Innlandet,NO,61.9858,9.2495
NO34,Eidskog,,Innlandet,NO,59.9856,12.1250
NO35,Elverum,,Innlandet,NO,60.8816,11.5631
