id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_latitude_1,ocean_longitude_1,ocean_lat1,ocean_lon1
AK1,Afognak,Agw’aneq,Alaska,US,58.0078,-152.768,"ardac,eds,ncr",1.0,True,58.214,-152.8521,57.9202,-152.9095
AK2,Akhiok,Kasukuak,Alaska,US,56.9455,-154.17,"ardac,eds,ncr",0.8,True,56.8357,-154.2574,57.0185,-154.3053
AK3,Akiachak,Akiacuar,Alaska,US,60.9094,-161.431,"ardac,eds,ncr",33.5,True,60.4267,-162.3873,60.433,-162.4693
AK4,Akiak,Akiaq,Alaska,US,60.9122,-161.214,"ardac,eds,ncr",43.0,True,60.4113,-162.4916,60.4169,-162.583
AK5,Akutan,Achan-ingiiga,Alaska,US,54.1385,-165.778,"ardac,eds,ncr",1.4,True,54.2052,-165.6081,54.1978,-165.9233
AK6,Alakanuk,Alarneq,Alaska,US,62.6889,-164.615,"ardac,eds,ncr",0.5,True,62.7285,-164.7354,62.7494,-164.7989
AK7,Alatna,Alaasuq,Alaska,US,66.5542,-152.7019,"ardac,eds,ncr",335.0,False,66.4869,-160.3146,66.4668,-161.409
AK488,Alcan Border,,Alaska,US,62.6856,-141.1253,"ardac,eds,ncr",284.8,False,59.9304,-141.9863,60.2524,-142.5763
AK8,Aleknagik,Alaqnaqiq,Alaska,US,59.273,-158.618,"ardac,eds,ncr",11.7,True,58.8466,-158.6536,59.0177,-158.7265
AK489,Aleneva,,Alaska,US,58.0046,-152.8825,"ardac,eds,ncr",0.9,True,58.2108,-152.9673,57.9168,-153.0237
AK9,Aleut Village,,Alaska,US,58.0171,-152.761,"ardac,eds",0.7,True,58.2233,-152.8451,57.9295,-152.9025
AK10,Alexander Creek,,Alaska,US,61.4171,-150.593,"ardac,eds,ncr",6.0,True,61.1532,-150.7212,61.1703,-150.7721
AK11,Allakaket,Aalaa Kkaakk’et,Alaska,US,66.5656,-152.646,"ardac,eds,ncr",337.4,False,66.5008,-160.2625,66.3191,-161.3129
AK12,Ambler,Ivisaappaat,Alaska,US,67.0861,-157.851,"ardac,eds,ncr",116.2,False,66.7418,-160.3142,66.8627,-161.7188
AK13,Anaktuvuk Pass,Anaqtuuvak / Naqsraq,Alaska,US,68.1433,-151.736,"ardac,eds,ncr",246.6,False,70.5907,-151.6351,70.2748,-147.9584
AK14,Anchor Point,,Alaska,US,59.7766,-151.831,"ardac,eds,ncr",3.1,True,59.826,-151.9237,59.852,-151.9726
AK15,Anchorage,Dgheyaytnu,Alaska,US,61.1817,-149.993,"ardac,eds,ncr",2.1,True,61.2324,-150.0869,61.0974,-150.156
AK16,Anderson,,Alaska,US,64.3441,-149.187,"ardac,eds,ncr",316.6,False,61.2545,-149.756,61.1887,-149.8175
AK18,Angoon,Aangóon,Alaska,US,57.5033,-134.584,"ardac,eds,ncr",1.3,True,57.5631,-134.6441,57.5945,-134.6758
AK19,Aniak,Anyaraq,Alaska,US,61.5783,-159.522,"ardac,eds,ncr",160.0,False,60.3785,-162.313,60.5235,-162.4883
AK20,Annette,,Alaska,US,55.063,-131.541,"ardac,eds",0.3,True,55.1243,-131.5924,55.1566,-131.6195
AK21,Anvik,Gitr’ingith Chagg,Alaska,US,62.6561,-160.207,"ardac,eds,ncr",107.0,False,63.6069,-161.2312,63.4947,-161.2817
AK22,Arctic Village,Vashrąįį K'ǫǫ,Alaska,US,68.1269,-145.538,"ardac,eds,ncr",205.4,False,70.0812,-144.9646,70.1664,-145.0053
AK23,Atka,Atx̂ax̂,Alaska,US,52.191,-174.189,"ardac,eds,ncr",0.6,True,52.2226,-174.2868,52.2392,-174.3384
AK24,Atmautluak,Atmaulluaq,Alaska,US,60.8641,-162.2723,"ardac,eds,ncr",15.6,True,60.4375,-162.2618,60.4456,-162.3157
AK25,Atqasuk,,Alaska,US,70.4694,-157.396,"ardac,eds,ncr",46.9,True,70.6764,-157.5689,71.027,-158.1887
AK26,Attu,,Alaska,US,52.9365,173.24,"ardac,eds,ncr",1.1,True,52.9035,174.6505,52.9664,173.0757
AK27,Auke Bay,,Alaska,US,58.383,-134.657,"ardac,eds,ncr",0.4,True,58.4427,-134.7187,58.3187,-134.8399
AK28,Ayakulik,,Alaska,US,57.2113,-154.546,"ardac,eds,ncr",2.1,True,57.2589,-154.6357,57.1216,-154.6799
AK558,Back Island,,Alaska,US,55.5483,-131.7561,eds,4.0,True,55.6095,-131.8085,55.6417,-131.8361
AK490,Badger,,Alaska,US,64.8058,-147.4039,"ardac,eds,ncr",380.4,False,61.154,-149.9058,60.9507,-147.0027
AK29,Baranof Warm Springs,,Alaska,US,57.0895,-134.8337,"ardac,eds,ncr",2.8,True,57.1041,-134.6145,57.1342,-134.6376
AK30,Bartlett Cove,,Alaska,US,58.45,-135.916,"ardac,eds",1.5,True,58.4665,-135.6887,58.5401,-136.0138
AK491,Bear Creek,,Alaska,US,60.1839,-149.3886,"ardac,eds,ncr",6.8,True,59.9211,-149.5216,59.9387,-149.57
AK31,Beaver,Ts'aahudaaneekk'onh Denh,Alaska,US,66.3594,-147.396,"ardac,eds,ncr",411.3,False,70.1737,-145.5249,70.1894,-146.5127
AK444,Beecher Pass State Marine Park,,Alaska,US,56.6003,-133.0267,"ardac,eds",1.2,True,56.8107,-132.9933,56.3838,-133.2939
AK32,Belkofski,Taxtamax̂,Alaska,US,55.0905,-162.034,"ardac,eds,ncr",0.8,True,55.1324,-162.1275,55.1544,-162.1768
AK33,Bell Island Hot Springs,,Alaska,US,55.933,-131.566,"ardac,eds,ncr",1.6,True,55.8453,-131.7116,55.8731,-131.742
AK492,Beluga,,Alaska,US,61.1849,-151.035,"ardac,eds,ncr",0.4,True,61.0706,-150.8179,61.0921,-150.8586
AK35,Bessie No. 5 Dredge,,Alaska,US,64.5502,-165.151,"ardac,eds,ncr",10.1,True,64.4071,-165.5782,64.2902,-165.2208
AK36,Bethel,Mamterilleq,Alaska,US,60.7922,-161.756,"ardac,eds,ncr",12.0,True,60.3274,-162.3872,60.4949,-162.5016
AK37,Bettles,Kk’odlel T’odegheelenh Denh,Alaska,US,66.9185,-151.5162,"ardac,eds,ncr",381.7,False,66.7038,-160.3996,70.2002,-148.0775
AK445,Bettles Bay State Marine Park,,Alaska,US,60.9597,-148.3184,"ardac,eds,ncr",0.4,True,60.8412,-148.1127,60.8489,-147.8182
AK465,Big Bear Baby Bear State Marine Park,,Alaska,US,57.432,-135.563,"ardac,eds",0.9,True,57.4913,-135.6246,57.2102,-135.8209
AK38,Big Delta,,Alaska,US,64.1525,-145.842,"ardac,eds,ncr",335.2,False,60.9228,-146.766,61.0148,-146.7977
AK39,Big Lake,,Alaska,US,61.5378,-149.824,"ardac,eds,ncr",10.1,True,61.2746,-149.9591,61.1304,-150.03
AK40,Bill Moore's Slough,,Alaska,US,62.9504,-163.7777,"ardac,eds,ncr",4.3,True,63.0359,-163.2088,63.1961,-163.6588
AK41,Biorka,,Alaska,US,53.831,-166.208,"ardac,eds",0.9,True,53.8695,-166.3028,53.8898,-166.3528
AK42,Birch Creek,Łiteet'aii,Alaska,US,66.2687,-145.824,"ardac,eds,ncr",411.7,False,69.5492,-140.7668,69.5112,-140.7405
AK559,Birch Lake Recreation Annex,,Alaska,US,64.3175,-146.647,eds,341.2,False,60.9263,-147.5261,60.9974,-147.2266
AK43,Birchwood,,Alaska,US,61.4081,-149.481,"ardac,eds,ncr",9.3,True,61.1452,-149.6184,61.1628,-149.6687
AK44,Bird Point,,Alaska,US,60.9311,-149.358,"ardac,eds,ncr",0.3,True,60.9926,-149.7756,61.0196,-149.8341
AK560,Blair Lake Air Force Rangeex,,Alaska,US,64.3876,-147.6672,eds,332.1,False,61.1942,-149.7213,61.0174,-147.1375
AK45,Bodenburg Butte,,Alaska,US,61.5495,-149.047,"ardac,eds,ncr",11.9,True,61.1513,-149.8664,61.1647,-149.9367
AK466,Bogoslof Island Refuge,,Alaska,US,53.9379,-168.0438,"ardac,eds",40.9,True,53.9749,-168.1406,53.9943,-168.1916
AK46,Boswell Bay,,Alaska,US,60.4001,-146.133,"ardac,eds",1.9,True,60.4533,-146.2185,60.4813,-146.2636
AK47,Brevig Mission,Sitaisaq,Alaska,US,65.3347,-166.489,"ardac,eds,ncr",0.7,True,65.3729,-166.6236,65.3929,-166.6945
AK48,Buckland,Kaŋiq,Alaska,US,65.9797,-161.123,"ardac,eds,ncr",15.3,True,66.0047,-161.6372,66.0264,-161.7172
AK493,Buffalo Soapstone,,Alaska,US,61.6684,-149.1217,"ardac,eds,ncr",19.9,True,61.2598,-149.6148,61.1114,-149.6975
AK494,Butte,,Alaska,US,61.5417,-149.0363,"ardac,eds,ncr",12.1,True,61.1436,-149.8556,61.157,-149.9259
AK49,Candle,,Alaska,US,65.9133,-161.924,"ardac,eds,ncr",7.5,True,65.974,-161.6713,65.9968,-161.7287
AK467,Canoe Passage State Marine Park,,Alaska,US,60.5181,-146.1118,"ardac,eds,ncr",0.5,True,60.5713,-146.1976,60.5993,-146.2428
AK50,Cantwell,Yidateni Na’,Alaska,US,63.3917,-148.951,"ardac,eds,ncr",211.4,False,61.2565,-149.7211,61.0572,-149.81
AK51,Cape Lisburne,,Alaska,US,68.8678,-166.193,"ardac,eds,ncr",1.9,True,68.9066,-166.3466,68.927,-166.4277
AK52,Cape Pole,,Alaska,US,55.965,-133.798,"ardac,eds,ncr",2.4,True,56.0252,-133.8543,56.0569,-133.884
AK53,Cape Yakataga,,Alaska,US,60.0652,-142.428,"ardac,eds,ncr",3.5,True,59.8107,-142.6149,60.1498,-142.5479
AK468,Captain Cook State Recreation Area,,Alaska,US,60.7858,-151.0463,"ardac,eds,ncr",1.2,True,60.8357,-151.1407,60.862,-151.1905
AK54,Central,,Alaska,US,65.5724,-144.803,"ardac,eds,ncr",474.1,False,69.5393,-140.6814,69.5226,-140.6834
AK55,Chakaktolik,,Alaska,US,61.7711,-163.625,"ardac,eds,ncr",59.3,True,60.8777,-163.4556,62.2369,-164.9928
AK56,Chakwaktolik,,Alaska,US,61.2291,-163.754,"ardac,eds,ncr",25.8,True,60.9583,-163.7713,60.7354,-164.7674
AK57,Chalkyitsik,Jałgiitsik,Alaska,US,66.6544,-143.722,"ardac,eds,ncr",344.8,False,69.5747,-140.7728,69.5275,-140.8184
AK58,Chaniliut,,Alaska,US,63.0332,-163.417,"ardac,eds,ncr",2.6,True,63.096,-163.1916,63.0952,-163.6006
AK495,Chase,,Alaska,US,62.4251,-150.1245,"ardac,eds,ncr",107.7,False,61.2102,-150.0439,61.2087,-150.4258
AK60,Chatham,,Alaska,US,57.514,-134.924,"ardac,eds,ncr",4.0,True,57.5288,-134.7022,57.5589,-134.7256
AK61,Chefornak,Cevvʼarneq / Caputnguaq,Alaska,US,60.1607,-164.271,"ardac,eds,ncr",10.6,True,60.0452,-164.3324,60.2216,-164.4401
AK62,Chena Hot Springs,,Alaska,US,65.053,-146.056,"ardac,eds,ncr",427.7,False,60.8811,-147.1901,61.1064,-147.1946
AK496,Chena Ridge,,Alaska,US,64.8228,-147.9764,"ardac,eds,ncr",376.2,False,61.1433,-149.7589,61.06,-149.8515
AK561,Chena River Research,,Alaska,US,64.8283,-146.9699,eds,388.8,False,61.1936,-149.8511,60.9896,-146.9544
AK63,Chenega Bay,Caniqaq,Alaska,US,60.0746,-148.003,"ardac,eds,ncr",0.9,True,60.1266,-148.0906,59.9926,-148.1656
AK64,Chevak,Cevʼaq,Alaska,US,61.5278,-165.586,"ardac,eds,ncr",10.2,True,61.7215,-165.7617,61.587,-165.765
AK65,Chickaloon,Nay’dini’aa Na’,Alaska,US,61.7967,-148.463,"ardac,eds,ncr",53.1,True,61.2557,-149.6476,61.1033,-149.75
AK66,Chicken,,Alaska,US,64.0733,-141.936,"ardac,eds,ncr",397.3,False,60.9319,-146.5163,61.0245,-146.644
AK67,Chignik,Cirniq,Alaska,US,56.2953,-158.402,"ardac,eds",0.8,True,56.3503,-158.21,56.2015,-158.523
AK68,Chignik Lagoon,Nanwarnaq,Alaska,US,56.3104,-158.5361,"ardac,eds,ncr",0.9,True,56.3657,-158.3442,56.3895,-158.3844
AK69,Chignik Lake,Igyaraq,Alaska,US,56.2552,-158.7696,"ardac,eds,ncr",7.8,True,56.3214,-158.2943,56.1726,-158.5984
AK446,Chilkat River Critical Habitat Area,,Alaska,US,59.373,-135.8596,"ardac,eds,ncr",18.3,True,58.9351,-135.8772,58.8176,-135.0012
AK70,Chiniak,,Alaska,US,57.617,-152.2166,"ardac,eds,ncr",3.0,True,57.6618,-152.0087,57.6921,-152.3503
AK71,Chisana,,Alaska,US,62.0671,-142.049,"ardac,eds,ncr",203.9,False,59.8719,-141.9858,60.2379,-142.873
AK72,Chistochina,Tsiis Tl’edze’ Caegge,Alaska,US,62.565,-144.665,"ardac,eds,ncr",181.7,False,60.9812,-146.544,60.9605,-146.64
AK73,Chitina,Tsedi Na',Alaska,US,61.5158,-144.437,"ardac,eds,ncr",89.9,True,60.3241,-144.8862,60.6997,-145.839
AK74,Christian,,Alaska,US,67.3673,-145.2,"ardac,eds,ncr",288.3,False,69.79,-141.6969,69.7566,-142.176
AK75,Chuathbaluk,Curarpalek,Alaska,US,61.5726,-159.235,"ardac,eds,ncr",172.1,False,60.3592,-162.3539,60.5036,-162.5386
AK447,Chugach National Forest Municipal Watershed,,Alaska,US,60.5195,-145.7223,"ardac,eds,ncr",3.7,True,60.573,-145.8074,60.6011,-145.8523
AK76,Chuloonawick,,Alaska,US,62.8961,-163.894,"ardac,eds,ncr",11.0,True,63.0678,-164.4116,63.0926,-164.4874
AK77,Circle,Danzhit Khànląįį,Alaska,US,65.8255,-144.061,"ardac,eds,ncr",437.7,False,69.5278,-140.8282,69.5037,-140.8608
AK78,Circle Hot Springs,,Alaska,US,65.4833,-144.634,"ardac,eds,ncr",481.4,False,69.4448,-140.5002,69.4608,-140.9487
AK79,Clam Gulch,,Alaska,US,60.2311,-151.394,"ardac,eds,ncr",2.4,True,60.2808,-151.4873,60.3069,-151.5365
AK80,Clark's Point,Saguyaq,Alaska,US,58.8441,-158.551,"ardac,eds,ncr",0.4,True,58.8886,-158.6504,58.912,-158.7028
AK81,Clear,,Alaska,US,64.3332,-149.167,"ardac,eds,ncr",315.4,False,61.2437,-149.7378,61.1779,-149.7993
AK562,Clear Air Force Station,,Alaska,US,64.2882,-149.1907,eds,310.4,False,61.1987,-149.7584,61.1329,-149.8198
AK82,Clover Pass,,Alaska,US,55.472,-131.791,"ardac,eds,ncr",1.3,True,55.5332,-131.8433,55.5654,-131.8709
AK83,Coffman Cove,,Alaska,US,56.0119,-132.8296,"ardac,eds,ncr",1.5,True,56.023,-132.6161,55.8457,-133.3689
AK84,Cohoe,,Alaska,US,60.3671,-151.3,"ardac,eds,ncr",2.0,True,60.4169,-151.3936,60.443,-151.4429
AK85,Cold Bay,,Alaska,US,55.1858,-162.721,"ardac,eds,ncr",2.0,True,55.2272,-162.8155,55.2489,-162.8653
AK497,Coldfoot,,Alaska,US,67.251,-150.1744,"ardac,eds,ncr",342.2,False,70.4382,-147.9317,70.2293,-148.0057
AK86,College,,Alaska,US,64.8582,-147.808,"ardac,eds,ncr",381.6,False,61.1805,-149.612,61.0973,-149.705
AK87,Cooper Landing,,Alaska,US,60.4906,-149.833,"ardac,eds,ncr",47.2,True,61.0123,-149.8646,60.0731,-149.7064
AK88,Copper Center,Tl’aticae’e,Alaska,US,61.955,-145.305,"ardac,eds,ncr",106.0,False,60.9721,-146.6583,60.9692,-146.7405
AK89,Cordova,,Alaska,US,60.5428,-145.757,"ardac,eds,ncr",0.8,True,60.5962,-145.8422,60.6243,-145.8872
AK90,Council,,Alaska,US,64.895,-163.676,"ardac,eds,ncr",34.4,True,64.4675,-163.6431,64.6813,-163.0091
AK498,Covenant Life,,Alaska,US,59.4003,-136.0027,"ardac,eds,ncr",27.0,True,59.1792,-135.2583,58.8458,-135.1412
AK91,Craig,Sháan Séet,Alaska,US,55.4764,-133.148,"ardac,eds",1.6,True,55.537,-133.2025,55.5688,-133.2313
AK92,Crooked Creek,Qipcarpak,Alaska,US,61.87,-158.111,"ardac,eds,ncr",239.9,False,63.6874,-161.336,63.4563,-161.0533
AK499,Crown Point,,Alaska,US,60.4289,-149.3707,"ardac,eds,ncr",34.2,True,60.0092,-149.5263,60.0222,-149.5754
AK448,Dall Bay State Marine Park,,Alaska,US,55.1559,-131.749,"ardac,eds,ncr",1.0,True,55.2171,-131.8008,55.2494,-131.8282
