id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
AB1,Abee,,Alberta,CA,54.238,-113.025,ardac,850.1,False
AB2,Acadia Valley,,Alberta,CA,51.1585,-110.209,ardac,915.0,False
AB3,Acme,,Alberta,CA,51.4972,-113.509,ardac,697.2,False
AB4,Aetna,,Alberta,CA,49.1339,-113.24,ardac,672.4,False
AB5,Airdrie,,Alberta,CA,51.2814,-114.004,ardac,658.3,False
AB6,Alberta Beach,,Alberta,CA,53.6756,-114.353,ardac,744.8,False
AB7,Alder Flats,,Alberta,CA,52.9331,-114.957,ardac,668.9,False
AB8,Aldersyde,,Alberta,CA,50.6761,-113.879,ardac,654.1,False
AB9,Alexander,,Alberta,CA,53.8033,-113.919,ardac,776.1,False
AB10,Alexis,,Alberta,CA,53.7324,-114.491,ardac,740.6,False
AB11,Alhambra,,Alberta,CA,52.3431,-114.672,ardac,654.7,False
AB12,Alix,,Alberta,CA,52.3981,-113.189,ardac,748.7,False
AB13,Alliance,,Alberta,CA,52.4344,-111.785,ardac,839.0,False
AB14,Altario,,Alberta,CA,51.9186,-110.162,ardac,930.9,False
AB15,Amesbury,,Alberta,CA,55.0811,-112.497,ardac,928.4,False
AB16,Amisk,,Alberta,CA,52.5656,-111.057,ardac,889.9,False
AB17,Andrew,,Alberta,CA,53.8783,-112.335,ardac,869.5,False
AB18,Anzac,,Alberta,CA,56.4478,-111.046,ardac,970.9,False
AB19,Arcadia,,Alberta,CA,55.4026,-116.131,ardac,750.6,False
AB20,Ardenode,,Alberta,CA,51.1444,-113.424,ardac,694.2,False
AB21,Ardley,,Alberta,CA,52.2611,-113.232,ardac,740.7,False
AB22,Ardmore,,Alberta,CA,54.3314,-110.477,ardac,998.3,False
AB23,Ardrossan,,Alberta,CA,53.5522,-113.144,ardac,806.1,False
AB24,Argentia Beach,,Alberta,CA,53.0536,-114.016,ardac,729.4,False
AB25,Armada,,Alberta,CA,50.4139,-112.754,ardac,726.6,False
AB26,Armena,,Alberta,CA,53.1225,-112.949,ardac,795.4,False
AB27,Arrowwood,,Alberta,CA,50.7392,-113.15,ardac,705.8,False
AB28,Artists View Park West,,Alberta,CA,51.0788,-114.272,ardac,635.0,False
AB29,Ashmont,,Alberta,CA,54.1292,-111.568,ardac,926.1,False
AB30,Assumption,,Alberta,CA,58.6994,-118.687,ardac,727.1,False
AB31,Athabasca,,Alberta,CA,54.7151,-113.284,ardac,864.9,False
AB32,Atikameg,,Alberta,CA,55.9169,-115.651,ardac,796.4,False
AB33,Atmore,,Alberta,CA,54.8192,-112.55,ardac,909.7,False
AB34,Balmoral,,Alberta,CA,52.2754,-113.7,ardac,711.7,False
AB35,Banff,,Alberta,CA,51.179,-115.569,ardac,550.7,False
AB36,Barnwell,,Alberta,CA,49.7606,-112.263,ardac,752.0,False
AB37,Barons,,Alberta,CA,49.9975,-113.081,ardac,696.5,False
AB38,Barrhead,,Alberta,CA,54.1217,-114.404,ardac,769.1,False
AB39,Bashaw,,Alberta,CA,52.5831,-112.97,ardac,769.9,False
AB40,Bassano,,Alberta,CA,50.7875,-112.468,ardac,753.9,False
AB41,Bawlf,,Alberta,CA,52.9194,-112.466,ardac,815.2,False
AB42,Bay Tree,,Alberta,CA,55.825,-119.906,ardac,557.6,False
AB43,Beaumont,,Alberta,CA,53.3525,-113.415,ardac,779.9,False
AB44,Beauvallon,,Alberta,CA,53.6592,-111.362,ardac,914.7,False
AB45,Beaver,,Alberta,CA,58.4708,-116.584,ardac,830.1,False
AB46,Beaver Lake,,Alberta,CA,54.753,-111.927,ardac,939.1,False
AB48,Beaver Mines,,Alberta,CA,49.4567,-114.197,ardac,609.3,False
AB49,Beaverlodge,,Alberta,CA,55.2118,-119.422,ardac,551.6,False
AB50,Beiseker,,Alberta,CA,51.385,-113.536,ardac,692.4,False
AB51,Bellevue,,Alberta,CA,49.5808,-114.366,ardac,599.3,False
AB52,Bellis,,Alberta,CA,54.1428,-112.15,ardac,893.7,False
AB53,Benalto,,Alberta,CA,52.3078,-114.278,ardac,677.2,False
AB54,Benchlands,,Alberta,CA,51.2834,-114.801,ardac,605.0,False
AB55,Bentley,,Alberta,CA,52.4664,-114.051,ardac,698.3,False
AB56,Bergen,,Alberta,CA,51.7081,-114.632,ardac,630.4,False
AB57,Berwyn,,Alberta,CA,56.1488,-117.724,ardac,690.6,False
AB58,Betula Beach,,Alberta,CA,53.5362,-114.677,ardac,718.8,False
AB59,Bezanson,,Alberta,CA,55.2286,-118.361,ardac,613.3,False
AB60,Big Valley,,Alberta,CA,52.0328,-112.752,ardac,763.3,False
AB61,Bigstone,,Alberta,CA,55.9436,-113.769,ardac,906.8,False
AB62,Bindloss,,Alberta,CA,50.88,-110.274,ardac,907.2,False
AB63,Birch Cove,,Alberta,CA,53.9538,-114.372,ardac,760.4,False
AB64,Bircham,,Alberta,CA,51.4589,-113.431,ardac,701.4,False
