id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
FO1,Tórshavn,,Suðurstreymoy,FO,62.012,-6.768,ardac,1.9,True
FO2,Klaksvík,,Norðoyar,FO,62.2266,-6.5853,ardac,0.3,True
FO3,Hoyvík,,Suðurstreymoy,FO,62.0329,-6.7766,ardac,2.3,True
FO4,Argir,,Suðurstreymoy,FO,61.9972,-6.7774,ardac,2.4,True
FO5,Fuglafjørður,,Eysturoy,FO,62.2439,-6.8156,ardac,1.7,True
FO6,Vágur,,Suðuroy,FO,61.4747,-6.8072,ardac,1.1,True
FO7,Vestmanna,,Norðurstreymoy,FO,62.156,-7.166,ardac,0.4,True
FO8,Tvøroyri,,Suðuroy,FO,61.5558,-6.8146,ardac,0.5,True
FO9,Miðvágur,,Vágar,FO,62.0491,-7.1892,ardac,0.4,True
FO10,Sørvágur,,Vágar,FO,62.0717,-7.3098,ardac,1.3,True
FO11,Saltangará,,Eysturoy,FO,62.1169,-6.7188,ardac,0.7,True
FO12,Leirvík,,Eysturoy,FO,62.2096,-6.7078,ardac,1.6,True
FO13,Sandavágur,,Vágar,FO,62.054,-7.1526,ardac,0.5,True
FO14,Toftir,,Eysturoy,FO,62.0916,-6.7379,ardac,1.1,True
FO15,Strendur,,Eysturoy,FO,62.1076,-6.7656,ardac,1.3,True
FO16,Kollafjørður,,Norðurstreymoy,FO,62.1177,-6.9006,ardac,1.6,True
FO17,Skála,,Eysturoy,FO,62.1574,-6.7817,ardac,1.5,True
FO18,Eiði,,Eysturoy,FO,62.3004,-7.0894,ardac,0.8,True
FO19,Hvalba,,Suðuroy,FO,61.6003,-6.9585,ardac,1.1,True
FO20,Norðragøta,,Eysturoy,FO,62.1985,-6.7402,ardac,1.2,True
FO21,Sandur,,Sandoy,FO,61.8348,-6.8176,ardac,1.3,True
FO22,Skopun,,Sandoy,FO,61.9038,-6.8867,ardac,0.5,True
FO23,Runavík,,Eysturoy,FO,62.1076,-6.7211,ardac,1.2,True
FO24,Trongisvágur,,Suðuroy,FO,61.564,-6.844,ardac,2.3,True
FO25,Syðrugøta,,Eysturoy,FO,62.1854,-6.7559,ardac,0.4,True
FO26,Glyvrar,,Eysturoy,FO,62.1286,-6.7241,ardac,0.7,True
FO27,Kvívík,,Norðurstreymoy,FO,62.1171,-7.0745,ardac,1.3,True
FO28,Viðareiði,,Norðoyar,FO,62.36,-6.533,ardac,0.7,True
FO29,Søldarfjørður,,Eysturoy,FO,62.1601,-6.7539,ardac,0.7,True
FO30,Porkeri,,Suðuroy,FO,61.4817,-6.7455,ardac,1.3,True
FO31,Hósvík,,Norðurstreymoy,FO,62.1515,-6.9468,ardac,2.1,True
FO32,Norðskáli,,Eysturoy,FO,62.2192,-7.0104,ardac,1.5,True
FO33,Nes,,Eysturoy,FO,62.0812,-6.7295,ardac,2.1,True
FO34,Rituvík,,Eysturoy,FO,62.1074,-6.6842,ardac,1.6,True
FO35,Hvannasund,,Norðoyar,FO,62.2973,-6.5197,ardac,1.5,True
FO36,Sumba,,Suðuroy,FO,61.4039,-6.7133,ardac,0.7,True
FO37,Nólsoy,,Suðurstreymoy,FO,62.0096,-6.6744,ardac,3.0,True
FO38,Kaldbak,,Suðurstreymoy,FO,62.0611,-6.8287,ardac,0.9,True
FO39,Hvalvík,,Norðurstreymoy,FO,62.1871,-7.0354,ardac,2.0,True
FO40,Streymnes,,Norðurstreymoy,FO,62.1914,-7.0316,ardac,2.0,True
FO41,Norðdepil,,Norðoyar,FO,62.2947,-6.5263,ardac,1.3,True
FO42,Velbastaður,,Suðurstreymoy,FO,61.9831,-6.8541,ardac,1.3,True
FO43,Skálavík,,Sandoy,FO,61.8297,-6.6658,ardac,1.9,True
FO44,Oyndarfjørður,,Eysturoy,FO,62.2769,-6.854,ardac,1.6,True
FO45,Oyri,,Eysturoy,FO,62.191,-6.9864,ardac,0.9,True
FO46,Saltnes,,Eysturoy,FO,62.109,-6.7425,ardac,0.9,True
FO47,Haldórsvík,,Norðurstreymoy,FO,62.2755,-7.0935,ardac,1.8,True
FO48,Signabøur,,Norðurstreymoy,FO,62.0967,-6.9228,ardac,1.3,True
FO49,Lambi,,Eysturoy,FO,62.1016,-7.6622,ardac,1.1,True
FO50,Froðba,,Suðuroy,FO,61.547,-6.771,ardac,0.5,True
FO51,Hov,,Suðuroy,FO,61.5068,-6.7624,ardac,2.3,True
FO52,Leynar,,Norðurstreymoy,FO,62.117,-7.0424,ardac,0.6,True
FO53,Oyrarbakki,,Eysturoy,FO,62.2026,-6.9972,ardac,0.5,True
FO54,Æðuvík,,Eysturoy,FO,62.0693,-6.6939,ardac,0.5,True
FO55,Fámjin,,Suðuroy,FO,61.5249,-6.8786,ardac,0.7,True
FO56,Skálabotnur,,Eysturoy,FO,62.194,-6.8541,ardac,2.2,True
FO57,Sandvík,,Suðuroy,FO,61.633,-6.929,ardac,0.8,True
FO58,Hvítanes,,Suðurstreymoy,FO,62.0446,-6.7726,ardac,1.6,True
FO59,Norðoyri,,Norðoyar,FO,62.2126,-6.5439,ardac,1.4,True
FO60,Lopra,,Suðuroy,FO,61.4436,-6.771,ardac,1.1,True
FO61,Kunoy,,Norðoyar,FO,62.3089,-6.6598,ardac,1.5,True
FO62,Húsavík,,Sandoy,FO,61.8096,-6.6795,ardac,2.5,True
FO63,Haraldssund,,Norðoyar,FO,62.2717,-6.6045,ardac,0.9,True
FO64,Funningur,,Eysturoy,FO,62.2869,-6.9679,ardac,1.8,True
FO65,Kirkjubøur,,Suðurstreymoy,FO,61.9527,-6.7942,ardac,1.5,True
FO66,Innan Glyvur,,Eysturoy,FO,62.1366,-6.7595,ardac,1.9,True
FO67,Tjørnuvík,,Norðurstreymoy,FO,62.289,-7.1487,ardac,2.5,True
FO68,Bøur,,Vágar,FO,62.0863,-7.3696,ardac,1.2,True
FO69,Øravíkarlíð,,Suðuroy,FO,61.55,-6.8333,ardac,1.5,True
FO70,Selatrað,,Eysturoy,FO,62.159,-6.878,ardac,1.1,True
FO71,Vatnsoyrar,,Vágar,FO,62.074,-7.248,ardac,1.5,True
FO72,Funningsfjørður,,Eysturoy,FO,62.2381,-6.9316,ardac,1.3,True
FO73,Skipanes,,Eysturoy,FO,62.1733,-6.7705,ardac,1.1,True
FO74,Árnafjørður,,Norðoyar,FO,62.2552,-6.5364,ardac,0.8,True
FO75,Válur,,Norðurstreymoy,FO,62.1499,-7.1516,ardac,0.6,True
FO76,Húsar,,Norðoyar,FO,62.2652,-6.6963,ardac,0.4,True
FO77,Skúgvoy,,Sandoy,FO,61.7664,-6.827,ardac,7.0,True
FO78,Gøtugjógv,,Eysturoy,FO,62.1919,-6.7487,ardac,1.2,True
FO79,Oyrareingir,,Norðurstreymoy,FO,62.0997,-6.9513,ardac,1.7,True
FO80,Dalur,,Sandoy,FO,61.7843,-6.6785,ardac,2.9,True
FO81,Gjógv,,Eysturoy,FO,62.3249,-6.9482,ardac,1.4,True
FO82,Svínoy,,Norðoyar,FO,62.2694,-6.3703,ardac,0.5,True
FO83,Mikladalur,,Norðoyar,FO,62.335,-6.766,ardac,0.2,True
FO84,Kolbanargjógv,,Eysturoy,FO,62.1093,-6.7892,ardac,0.9,True
FO85,Langasandur,,Norðurstreymoy,FO,62.2316,-7.0486,ardac,1.7,True
FO86,Stykkið,,Norðurstreymoy,FO,62.1155,-7.0513,ardac,1.1,True
FO87,Øravík,,Suðuroy,FO,61.5327,-6.8112,ardac,2.3,True
FO88,undir Gøtueiði,,Eysturoy,FO,62.1754,-6.7753,ardac,0.7,True
FO89,Hestur,,Suðurstreymoy,FO,61.9508,-6.8906,ardac,4.6,True
FO90,Ljósá,,Eysturoy,FO,62.2675,-7.0618,ardac,1.0,True
FO91,Svínáir,,Eysturoy,FO,62.2298,-7.0257,ardac,1.1,True
FO92,Akrar,,Suðuroy,FO,61.4557,-6.759,ardac,0.3,True
FO93,Elduvík,,Eysturoy,FO,62.2821,-6.9117,ardac,0.1,True
FO94,Morskranes,,Eysturoy,FO,62.1298,-6.8399,ardac,0.5,True
FO95,Kirkja,,Norðoyar,FO,62.3182,-6.3165,ardac,1.2,True
FO96,Saksun,,Norðurstreymoy,FO,62.2466,-7.1777,ardac,1.0,True
FO97,Gásadalur,,Vágar,FO,62.1104,-7.438,ardac,1.5,True
FO98,Trøllanes,,Norðoyar,FO,62.3612,-6.7888,ardac,0.1,True
FO99,Hellur,,Eysturoy,FO,62.1444,-7.4394,ardac,0.6,True
