id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
FI1,Brändö,,Åland Islands,FI,60.4075,21.0786,ardac,4.6,True,60.3428,21.1722
FI2,Eckerö,,Åland Islands,FI,60.2208,19.5589,ardac,1.3,True,60.1571,19.6549
FI3,Finström,,Åland Islands,FI,60.2342,20.1139,ardac,0.6,True,60.1701,20.2089
FI4,Föglö,,Åland Islands,FI,60.0989,20.3728,ardac,4.9,True,60.0347,20.467
FI5,Geta,,Åland Islands,FI,60.4183,19.7167,ardac,6.5,True,60.3545,19.8129
FI6,Hammarland,,Åland Islands,FI,60.2447,19.6892,ardac,0.6,True,60.1809,19.785
FI7,Jomala,,Åland Islands,FI,60.1181,19.8989,ardac,2.0,True,60.0542,19.994
FI8,Kumlinge,,Åland Islands,FI,60.3992,20.7692,ardac,3.5,True,60.3347,20.8634
FI9,Lemland,,Åland Islands,FI,60.0925,20.1544,ardac,0.7,True,60.0284,20.249
FI10,Mariehamn,,Åland Islands,FI,60.1026,19.9348,ardac,1.4,True,60.0387,20.0298
FI11,Saltvik,,Åland Islands,FI,60.3575,20.1547,ardac,2.9,True,60.2934,20.25
FI12,Sund,,Åland Islands,FI,60.2361,20.2156,ardac,1.2,True,60.172,20.3104
FI13,Äänekoski,,Central Finland,FI,62.6,25.7333,ardac,188.6,False,63.3359,22.3648
FI14,Hankasalmi,,Central Finland,FI,62.3833,26.4333,ardac,193.7,False,60.5383,26.585
FI15,Jämsä,,Central Finland,FI,61.8642,25.19,ardac,157.0,False,60.4423,25.9363
FI16,Jämsänkoski,,Central Finland,FI,61.919,25.1701,ardac,162.9,False,60.4971,25.9181
FI17,Joutsa,,Central Finland,FI,61.7333,26.1167,ardac,124.5,False,60.4955,26.5927
FI18,Jyväskylä,,Central Finland,FI,62.2415,25.7209,ardac,184.9,False,60.4774,26.6035
FI19,Kannonkoski,,Central Finland,FI,62.9667,25.25,ardac,141.0,False,63.3298,22.3856
FI20,Karstula,,Central Finland,FI,62.8667,24.7833,ardac,132.0,False,63.3481,22.3274
FI21,Keuruu,,Central Finland,FI,62.2667,24.7,ardac,166.9,False,62.3368,21.4448
FI22,Kinnula,,Central Finland,FI,63.3833,24.95,ardac,97.7,True,64.1178,23.289
FI23,Kivijärvi,,Central Finland,FI,63.1198,25.0784,ardac,122.5,False,64.0387,23.1603
FI24,Konnevesi,,Central Finland,FI,62.6167,26.3167,ardac,207.3,False,63.4218,22.2782
FI25,Korpilahti,,Central Finland,FI,62.0167,25.55,ardac,164.1,False,60.5569,26.5915
FI26,Kuhmoinen,,Central Finland,FI,61.5667,25.1833,ardac,127.4,False,60.4489,26.0738
FI27,Kyyjärvi,,Central Finland,FI,63.0333,24.5667,ardac,111.4,False,63.33,22.3706
FI28,Laukaa,,Central Finland,FI,62.4141,25.9519,ardac,200.6,False,63.3365,22.3352
FI29,Leivonmäki,,Central Finland,FI,61.912,26.128,ardac,143.8,False,60.4859,26.8347
FI30,Luhanka,,Central Finland,FI,61.7968,25.7046,ardac,138.2,False,60.4083,26.1209
FI31,Multia,,Central Finland,FI,62.4167,24.7833,ardac,159.0,False,63.3873,22.2182
FI32,Muurame,,Central Finland,FI,62.1333,25.6667,ardac,174.2,False,60.5211,26.6276
FI33,Petäjävesi,,Central Finland,FI,62.25,25.2,ardac,187.7,False,62.3571,21.6168
FI34,Pihtipudas,,Central Finland,FI,63.3833,25.5667,ardac,121.6,False,64.0312,23.1514
FI35,Pylkönmäki,,Central Finland,FI,62.6667,24.8,ardac,143.8,False,63.3023,22.4256
FI36,Saarijärvi,,Central Finland,FI,62.7049,25.254,ardac,162.1,False,63.4034,22.2046
FI37,Säynätsalo,,Central Finland,FI,62.1403,25.7695,ardac,173.3,False,60.5275,26.7256
FI38,Sumiainen,,Central Finland,FI,62.6574,26.0464,ardac,194.3,False,63.9862,23.3012
FI39,Suolahti,,Central Finland,FI,62.5642,25.8536,ardac,195.6,False,63.3302,22.1517
FI40,Toivakka,,Central Finland,FI,62.1,26.0833,ardac,164.9,False,60.5225,26.7159
FI41,Uurainen,,Central Finland,FI,62.5,25.45,ardac,182.3,False,63.3837,22.1501
FI42,Viitasaari,,Central Finland,FI,63.0667,25.8667,ardac,156.2,False,64.056,23.2819
FI43,Halsua,,Central Ostrobothnia,FI,63.4667,24.1667,ardac,62.7,True,64.1356,23.181
FI44,Kälviä,,Central Ostrobothnia,FI,63.8607,23.4529,ardac,6.0,True,64.1313,23.3506
FI45,Kannus,,Central Ostrobothnia,FI,63.9,23.9,ardac,20.5,True,64.0477,23.3794
FI46,Kaustinen,,Central Ostrobothnia,FI,63.5488,23.6885,ardac,41.9,True,63.8785,22.8981
FI47,Kokkola,,Central Ostrobothnia,FI,63.8541,23.5856,ardac,11.4,True,63.9712,23.4114
FI48,Lestijärvi,,Central Ostrobothnia,FI,63.5333,24.65,ardac,75.5,True,64.0817,23.251
FI49,Lohtaja,,Central Ostrobothnia,FI,64.0247,23.5048,ardac,1.5,True,63.9882,23.2569
FI50,Perho,,Central Ostrobothnia,FI,63.2167,24.4167,ardac,92.8,True,64.0702,23.1697
FI51,Toholampi,,Central Ostrobothnia,FI,63.7667,24.25,ardac,43.4,True,64.0993,23.4603
FI52,Ullava,,Central Ostrobothnia,FI,63.6,24.0833,ardac,48.9,True,64.0853,23.3685
FI53,Veteli,,Central Ostrobothnia,FI,63.4784,23.7829,ardac,50.5,True,63.5293,22.5149
FI54,Alastaro,,Southwest Finland,FI,60.95,22.85,ardac,62.5,True,60.5046,21.8269
FI55,Askainen,,Southwest Finland,FI,60.5667,21.8667,ardac,2.6,True,60.5015,21.9592
FI56,Aura,,Southwest Finland,FI,60.6471,22.5876,ardac,27.7,True,60.482,21.998
FI57,Dragsfjärd,,Southwest Finland,FI,60.0667,22.4833,ardac,0.8,True,60.0011,22.5734
FI58,Halikko,,Southwest Finland,FI,60.4,23.0833,ardac,4.9,True,60.2091,22.804
FI59,Houtskär,,Southwest Finland,FI,60.2228,21.3722,ardac,1.7,True,60.1579,21.4648
FI60,Iniö,,Southwest Finland,FI,60.4,21.4,ardac,3.9,True,60.3351,21.493
FI61,Kaarina,,Southwest Finland,FI,60.4072,22.369,ardac,3.6,True,60.3688,22.1503
FI62,Karinainen,,Southwest Finland,FI,60.6667,22.7667,ardac,30.8,True,60.2938,22.7377
FI63,Kiikala,,Southwest Finland,FI,60.4667,23.5667,ardac,29.4,True,60.0941,23.5293
FI64,Kimito,,Southwest Finland,FI,60.1605,22.729,ardac,5.0,True,60.0948,22.8188
FI65,Kisko,,Southwest Finland,FI,60.2333,23.4833,ardac,18.1,True,60.0139,23.5093
FI66,Kustavi,,Southwest Finland,FI,60.5453,21.3588,ardac,1.4,True,60.4804,21.4522
FI67,Kuusjoki,,Southwest Finland,FI,60.5167,23.2,ardac,19.1,True,60.3541,22.6097
FI68,Laitila,,Southwest Finland,FI,60.8758,21.6977,ardac,14.6,True,60.8363,21.4767
FI69,Lemu,,Southwest Finland,FI,60.5667,21.9667,ardac,5.0,True,60.5276,21.7475
FI70,Lieto,,Southwest Finland,FI,60.5103,22.4618,ardac,12.1,True,60.3182,22.1852
FI71,Marttila,,Southwest Finland,FI,60.5833,22.9,ardac,25.4,True,60.2384,22.5614
FI72,Masku,,Southwest Finland,FI,60.5708,22.0988,ardac,9.9,True,60.5319,21.8794
FI73,Mellilä,,Southwest Finland,FI,60.7667,22.95,ardac,44.5,True,60.2403,22.8587
FI74,Merimasku,,Southwest Finland,FI,60.4833,21.8667,ardac,0.7,True,60.4181,21.959
FI75,Mietoinen,,Southwest Finland,FI,60.6333,21.9333,ardac,5.1,True,60.568,22.0259
FI76,Muurla,,Southwest Finland,FI,60.35,23.2833,ardac,11.1,True,60.1595,23.0033
FI77,Mynämäki,,Southwest Finland,FI,60.6792,21.9927,ardac,10.0,True,60.4861,21.7173
FI78,Naantali,,Southwest Finland,FI,60.4674,22.0243,ardac,0.3,True,60.4021,22.1163
FI79,Nagu,,Southwest Finland,FI,60.1938,21.9097,ardac,1.6,True,60.1286,22.0012
FI80,Nousiainen,,Southwest Finland,FI,60.6042,22.0793,ardac,11.8,True,60.5653,21.8597
FI81,Oripää,,Southwest Finland,FI,60.85,22.6833,ardac,50.3,True,60.3234,22.5958
FI82,Paimio,,Southwest Finland,FI,60.4567,22.6869,ardac,7.3,True,60.2374,22.7181
FI83,Pargas,,Southwest Finland,FI,60.3067,22.301,ardac,1.6,True,60.2682,22.0831
FI84,Perniö,,Southwest Finland,FI,60.2,23.1333,ardac,9.3,True,60.1627,22.9151
FI85,Pertteli,,Southwest Finland,FI,60.4333,23.2667,ardac,13.4,True,60.271,22.6776
FI86,Piikkiö,,Southwest Finland,FI,60.4248,22.516,ardac,3.1,True,60.3592,22.6069
FI87,Pöytyä,,Southwest Finland,FI,60.7667,22.6667,ardac,41.0,True,60.2401,22.5798
FI88,Pyhäranta,,Southwest Finland,FI,60.95,21.45,ardac,2.7,True,60.9102,21.2288
FI89,Raisio,,Southwest Finland,FI,60.4859,22.169,ardac,4.6,True,60.4472,21.95
FI90,Rusko,,Southwest Finland,FI,60.5333,22.2167,ardac,10.1,True,60.4946,21.9974
FI91,Rymättylä,,Southwest Finland,FI,60.3766,21.9418,ardac,0.5,True,60.3114,22.0337
FI92,Salo,,Southwest Finland,FI,60.3833,23.1333,ardac,4.3,True,60.1925,22.8539
FI93,Särkisalo,,Southwest Finland,FI,60.1139,22.95,ardac,0.5,True,60.048,23.0393
FI94,Sauvo,,Southwest Finland,FI,60.3431,22.6964,ardac,5.3,True,60.2774,22.7867
FI95,Somero,,Southwest Finland,FI,60.6167,23.5333,ardac,38.1,True,60.302,22.8791
FI96,Suomusjärvi,,Southwest Finland,FI,60.35,23.65,ardac,31.3,True,59.9774,23.612
FI97,Taivassalo,,Southwest Finland,FI,60.5609,21.6164,ardac,2.1,True,60.4958,21.7094
FI98,Tarvasjoki,,Southwest Finland,FI,60.5833,22.7333,ardac,21.3,True,60.238,22.3965
FI99,Turku,,Southwest Finland,FI,60.4515,22.2687,ardac,5.3,True,60.4129,22.0499
FI100,Uusikaupunki,,Southwest Finland,FI,60.8004,21.4084,ardac,1.7,True,60.7605,21.1883
FI101,Vahto,,Southwest Finland,FI,60.6,22.3,ardac,18.8,True,60.4075,22.0235
FI102,Väståboland,,Southwest Finland,FI,60.2997,22.3004,ardac,1.2,True,60.2342,22.3914
FI103,Västanfjärd,,Southwest Finland,FI,60.05,22.6833,ardac,2.5,True,59.9843,22.773
FI104,Vehmaa,,Southwest Finland,FI,60.6833,21.6667,ardac,10.7,True,60.4641,21.7047
FI105,Velkua,,Southwest Finland,FI,60.4667,21.6667,ardac,0.8,True,60.4016,21.7593
FI106,Yläne,,Southwest Finland,FI,60.8833,22.4167,ardac,42.1,True,60.5634,21.7679
FI107,Hyrynsalmi,,Kainuu,FI,64.6667,28.5333,ardac,151.2,False,64.8206,25.0065
FI108,Kajaani,,Kainuu,FI,64.2273,27.7285,ardac,133.3,False,64.909,25.2913
FI109,Kuhmo,,Kainuu,FI,64.1333,29.5167,ardac,215.8,False,64.8708,25.2647
FI110,Paltamo,,Kainuu,FI,64.4167,27.8333,ardac,127.9,False,64.795,25.2093
