id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
IS1,Seltjarnarnes,,Capital Region,IS,64.1541,-21.9949,ardac,0.8,True,64.1364,-22.3639
IS2,Garðabær,,Capital Region,IS,64.0887,-21.923,ardac,2.0,True,64.2508,-21.9182
IS3,Hafnarfjörður,,Capital Region,IS,64.0708,-21.9993,ardac,0.7,True,64.2329,-21.995
IS4,Kópavogur,,Capital Region,IS,64.1044,-21.9145,ardac,0.6,True,64.2665,-21.9097
IS5,Mosfellsbær,,Capital Region,IS,64.1667,-21.7,ardac,1.3,True,64.3209,-22.0885
IS6,Reykjavík,,Capital Region,IS,64.1333,-21.9,ardac,1.3,True,64.1159,-22.2688
IS7,Grundarhverfi í Kjalarnesi,,Capital Region,IS,64.2401,-21.8329,ardac,0.2,True,64.231,-21.81
IS8,Álftanes,,East,IS,65.3833,-13.65,ardac,1.2,True,65.373,-13.6291
IS9,Bakkafjörður,,East,IS,66.0295,-14.8781,ardac,1.1,True,66.0193,-14.8562
IS10,Borgarnes,,East,IS,65.3328,-13.7239,ardac,0.7,True,65.4932,-13.6685
IS11,Egilsstaðir,,East,IS,64.9622,-15.1571,ardac,35.3,True,64.7581,-14.3592
IS12,Eskifjörður,,East,IS,65.0667,-14.0167,ardac,0.3,True,65.0564,-13.9959
IS13,Fáskrúðsfjörður,,East,IS,64.9313,-14.0189,ardac,1.1,True,64.921,-13.9982
IS14,Flateyri,,East,IS,65.0367,-14.0856,ardac,2.6,True,65.0264,-14.0648
IS15,Garður,,East,IS,65.5534,-16.9727,ardac,48.0,True,66.0623,-17.3309
IS16,Hafnir,,East,IS,66.0888,-15.1126,ardac,1.5,True,66.0787,-15.0906
IS17,Húsavík,,East,IS,65.4,-13.7167,ardac,2.2,True,65.5604,-13.6611
IS18,Kópasker,,East,IS,66.3018,-16.4445,ardac,0.3,True,66.2983,-16.847
IS19,Neskaupstaður,,East,IS,65.15,-13.6667,ardac,0.6,True,65.1397,-13.646
IS20,Raufarhöfn,,East,IS,66.4543,-15.9511,ardac,0.8,True,66.4443,-15.9284
IS21,Reyðarfjörður,,East,IS,65.0316,-14.2183,ardac,0.8,True,65.0078,-13.7935
IS22,Reykjahlíð,,East,IS,65.6421,-16.9124,ardac,41.9,True,65.984,-17.7024
IS23,Selfoss,,East,IS,65.7988,-16.3834,ardac,34.7,True,66.1379,-16.7484
IS24,Seyðisfjörður,,East,IS,65.3021,-13.8139,ardac,1.0,True,65.121,-13.8265
IS25,Vogar,,East,IS,65.6187,-16.9162,ardac,43.7,True,65.9606,-17.7056
IS26,Vopnafjörður,,East,IS,65.8054,-14.6499,ardac,6.1,True,65.9661,-14.5992
IS27,Þórshöfn,,East,IS,64.9453,-13.7858,ardac,2.3,True,64.935,-13.7652
IS28,Fellabær,,East,IS,65.2833,-14.3833,ardac,17.6,True,65.0891,-13.9867
IS29,Akranes,,Northeast,IS,65.7,-21.55,ardac,1.6,True,65.6971,-21.1104
IS30,Akureyri,,Northeast,IS,65.6835,-18.0878,ardac,0.6,True,66.0133,-17.6316
IS31,Árnes,,Northeast,IS,65.4003,-19.2518,ardac,37.8,True,65.7323,-19.6482
