id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
MB1,Albert Beach,,Manitoba,CA,50.6806,-96.5136,ardac,722.1,False,,
MB2,Alexander,,Manitoba,CA,49.83,-100.295,ardac,915.7,False,,
MB3,Almdals Cove,,Manitoba,CA,50.4706,-96.5711,ardac,745.5,False,,
MB4,Alonsa,,Manitoba,CA,50.7989,-98.9744,ardac,776.9,False,,
MB5,Altamont,,Manitoba,CA,49.3986,-98.4972,ardac,903.7,False,,
MB6,Altona,,Manitoba,CA,49.1047,-97.5589,ardac,911.3,False,,
MB7,Amaranth,,Manitoba,CA,50.5956,-98.7383,ardac,789.4,False,,
MB8,Angusville,,Manitoba,CA,50.7356,-101.021,ardac,857.0,False,,
MB9,Anola,,Manitoba,CA,49.885,-96.6356,ardac,808.9,False,,
MB10,Arborg,,Manitoba,CA,50.9083,-97.2153,ardac,714.7,False,,
MB11,Arden,,Manitoba,CA,50.2777,-99.2685,ardac,837.6,False,,
MB12,Argyle,,Manitoba,CA,50.1811,-97.4544,ardac,795.9,False,,
MB13,Arnaud,,Manitoba,CA,49.2503,-97.1039,ardac,886.0,False,,
MB14,Arnes,,Manitoba,CA,50.8026,-96.998,ardac,720.2,False,,
MB15,Arrow River,,Manitoba,CA,50.1439,-100.893,ardac,907.1,False,,
MB16,Ashern,,Manitoba,CA,51.1822,-98.3456,ardac,719.1,False,,
MB17,Ashville,,Manitoba,CA,51.1771,-100.297,ardac,788.3,False,,
MB18,Aspen Park,,Manitoba,CA,50.6381,-97.0297,ardac,738.1,False,,
MB19,Assiniboia,,Manitoba,CA,49.8987,-97.2978,ardac,821.7,False,,
MB20,Aubigny,,Manitoba,CA,49.4581,-97.2458,ardac,867.0,False,,
MB21,Austin,,Manitoba,CA,49.9503,-98.9361,ardac,859.9,False,,
MB22,Bacon Ridge,,Manitoba,CA,51.0058,-99.0069,ardac,757.8,False,,
MB23,Baden,,Manitoba,CA,52.7803,-101.216,ardac,692.1,False,,
MB24,Bagot,,Manitoba,CA,49.9692,-98.63,ardac,849.0,False,,
MB25,Bakers Narrows,,Manitoba,CA,54.6715,-101.659,ardac,585.3,False,58.9267,-94.8649
MB26,Baldur,,Manitoba,CA,49.3856,-99.247,ardac,926.2,False,,
MB27,Balmoral,,Manitoba,CA,50.2564,-97.3186,ardac,784.7,False,,
MB28,Barkfield,,Manitoba,CA,49.3329,-96.802,ardac,871.1,False,,
MB29,Barren Lands,,Manitoba,CA,57.9065,-101.56,ardac,392.8,False,58.9107,-94.7668
