id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
NL1,Abrahams Cove,,Newfoundland and Labrador,CA,48.5255556,-58.9161111,ardac,1.9,True,48.4877,-58.9035
NL2,Adams Cove,,Newfoundland and Labrador,CA,47.8622222,-53.0927778,ardac,1.9,True,47.8238,-53.0855
NL3,Adeytown,,Newfoundland and Labrador,CA,48.0741666,-53.9319444,ardac,2.3,True,47.8355,-53.531
NL4,Adlatovusek,,Newfoundland and Labrador,CA,55.25,-60.499167,ardac,0.7,True,55.3566,-60.3288
NL5,Admiral's Cove,,Newfoundland and Labrador,CA,47.0966667,-52.9075,ardac,1.0,True,47.0584,-52.9005
NL6,Admirals Beach,,Newfoundland and Labrador,CA,47.0171497,-53.5989861,ardac,2.1,True,46.8475,-53.7371
NL7,Aguathuna,,Newfoundland and Labrador,CA,48.5613889,-58.7697223,ardac,0.5,True,48.5235,-58.7572
NL8,Aillik,,Newfoundland and Labrador,CA,55.2127512,-59.2071047,ardac,0.5,True,55.1741,-59.1918
NL9,Alderburn,,Newfoundland and Labrador,CA,49.1111112,-55.25,ardac,1.1,True,49.3052,-55.298
NL10,Alexander Bay,,Newfoundland and Labrador,CA,48.6794445,-54.1161111,ardac,9.7,True,48.9067,-53.8053
NL11,Allan's Island,,Newfoundland and Labrador,CA,46.8533333,-55.8027778,ardac,2.4,True,46.8153,-55.7933
NL12,Amherst Cove,,Newfoundland and Labrador,CA,48.5752778,-53.2075,ardac,1.1,True,48.5368,-53.2
NL13,Anchor Point,,Newfoundland and Labrador,CA,51.2389361,-56.7885527,ardac,0.5,True,51.2004,-56.7771
NL14,Anderson's Cove,,Newfoundland and Labrador,CA,47.6052778,-55.1127778,ardac,1.4,True,47.5671,-55.1038
NL15,Angels Cove,,Newfoundland and Labrador,CA,47.0027778,-54.1361111,ardac,1.1,True,46.9646,-54.1281
NL16,Appleton,,Newfoundland and Labrador,CA,48.9817361,-54.8572361,ardac,28.6,True,49.4086,-54.9591
NL17,Aquaforte,,Newfoundland and Labrador,CA,47.0080555,-52.9563889,ardac,4.9,True,47.1,-52.8009
NL18,Argentia,,Newfoundland and Labrador,CA,47.2980555,-53.9855556,ardac,1.1,True,47.2598,-53.9776
NL19,Arnold's Cove,,Newfoundland and Labrador,CA,47.7689194,-53.9917694,ardac,0.7,True,47.7306,-53.9837
NL20,Arnolds Cove Station,,Newfoundland and Labrador,CA,47.7838889,-53.9683333,ardac,2.2,True,47.6458,-53.7646
NL21,Ashuanipi,,Newfoundland and Labrador,CA,52.7666667,-66.0827778,ardac,272.8,False,50.1038,-66.0264
NL22,Aspen,,Newfoundland and Labrador,CA,48.1591667,-53.7533333,ardac,1.5,True,48.4855,-53.6427
NL23,Aspey Brook,,Newfoundland and Labrador,CA,48.1619444,-53.8438889,ardac,1.1,True,48.4884,-53.734
NL24,Astray,,Newfoundland and Labrador,CA,54.600098,-66.699272,ardac,341.0,False,56.3251,-61.6727
NL25,Avondale,,Newfoundland and Labrador,CA,47.3991028,-53.2264333,ardac,4.6,True,47.5928,-53.2635
NL26,Baccalieu Island,,Newfoundland and Labrador,CA,48.1505555,-52.7963889,ardac,5.1,True,48.1121,-52.7894
NL27,Back Cove,,Newfoundland and Labrador,CA,49.8497222,-56.5625,ardac,0.4,True,49.906,-56.7643
NL28,Back Harbour,,Newfoundland and Labrador,CA,49.6586111,-54.7855556,ardac,6.4,True,49.6201,-54.7764
NL29,Back Shore,,Newfoundland and Labrador,CA,46.6175,-53.5872222,ardac,1.0,True,46.5793,-53.5797
NL30,Bacon Cove,,Newfoundland and Labrador,CA,47.4805556,-53.1713889,ardac,1.3,True,47.573,-53.0147
NL31,Badger,,Newfoundland and Labrador,CA,48.9788806,-56.0416916,ardac,48.8,True,49.5806,-55.6515
NL32,Badger's Quay,,Newfoundland and Labrador,CA,49.1238889,-53.5944445,ardac,1.2,True,49.2177,-53.4325
NL33,Baie Verte,,Newfoundland and Labrador,CA,49.9087083,-56.1946584,ardac,1.8,True,50.007,-56.0357
NL34,Baine Harbour,,Newfoundland and Labrador,CA,47.3659444,-54.8972055,ardac,1.3,True,47.3278,-54.8884
NL35,Baker Cove,,Newfoundland and Labrador,CA,47.5716667,-54.2088889,ardac,1.5,True,47.5334,-54.2007
NL36,Bakers Brook,,Newfoundland and Labrador,CA,49.6536111,-57.955,ardac,1.1,True,49.6155,-57.9429
NL37,Bally Haly,,Newfoundland and Labrador,CA,47.59,-52.6961112,ardac,2.4,True,47.5516,-52.6893
NL38,Ballyhack,,Newfoundland and Labrador,CA,47.4394444,-53.1986111,ardac,0.4,True,47.5319,-53.0421
NL39,Bar Haven,,Newfoundland and Labrador,CA,47.7105556,-54.2208333,ardac,3.1,True,47.6723,-54.2126
NL40,Barachois,,Newfoundland and Labrador,CA,46.8616667,-53.5836111,ardac,2.3,True,46.8235,-53.5761
NL41,Barachoix,,Newfoundland and Labrador,CA,47.6563889,-55.6941667,ardac,0.5,True,47.4833,-55.826
NL42,Barasway de Plate,,Newfoundland and Labrador,CA,47.4858333,-55.0697222,ardac,0.8,True,47.3503,-54.8639
NL43,Bareneed,,Newfoundland and Labrador,CA,47.5763889,-53.2411111,ardac,1.0,True,47.5381,-53.2338
NL44,Barge Bay,,Newfoundland and Labrador,CA,51.8071901,-56.2107976,ardac,1.1,True,51.7686,-56.1998
NL45,Barr'd Harbour,,Newfoundland and Labrador,CA,50.8122223,-57.055,ardac,0.6,True,50.7738,-57.0434
NL46,Barr'd Islands,,Newfoundland and Labrador,CA,49.7216667,-54.1877778,ardac,0.5,True,49.6831,-54.1792
NL47,Barton,,Newfoundland and Labrador,CA,48.2216667,-53.8988889,ardac,1.7,True,48.5482,-53.7892
NL48,Batteau,,Newfoundland and Labrador,CA,53.4093877,-55.7794516,ardac,0.6,True,53.3705,-55.7684
NL49,Battery,,Newfoundland and Labrador,CA,47.0330556,-52.8830556,ardac,1.7,True,46.9948,-52.8761
NL50,Battle Harbour,,Newfoundland and Labrador,CA,52.2667143,-55.5870035,ardac,5.5,True,52.3648,-55.4168
NL51,Bauline,,Newfoundland and Labrador,CA,47.7008305,-52.8195695,ardac,4.8,True,47.6624,-52.8126
NL52,Bauline South,,Newfoundland and Labrador,CA,47.17971,-52.8454697,ardac,0.4,True,47.1414,-52.8386
NL53,Bay Bulls,,Newfoundland and Labrador,CA,47.3261583,-52.793875,ardac,1.8,True,47.2878,-52.787
NL54,Bay L'Argent,,Newfoundland and Labrador,CA,47.542664,-54.886061,ardac,0.9,True,47.6019,-55.0749
NL55,Bay Roberts,,Newfoundland and Labrador,CA,47.5827278,-53.2932639,ardac,3.1,True,47.5444,-53.2859
NL56,Bay View,,Newfoundland and Labrador,CA,47.083333,-55.215833,ardac,2.1,True,47.179,-55.065
NL57,Bay de Loup,,Newfoundland and Labrador,CA,47.6616667,-57.5183334,ardac,1.5,True,47.6237,-57.5072
NL58,Bay de Verde,,Newfoundland and Labrador,CA,48.1011611,-52.8895167,ardac,1.2,True,48.0627,-52.8824
NL59,Bay de l'Eau,,Newfoundland and Labrador,CA,47.6288889,-54.9205555,ardac,2.3,True,47.688,-55.1098
NL60,Bay du Nord,,Newfoundland and Labrador,CA,47.7111111,-55.4130555,ardac,0.3,True,47.5762,-55.2051
NL61,Bayside,,Newfoundland and Labrador,CA,49.5333333,-56.8636111,ardac,1.7,True,49.8645,-56.7742
NL62,Baytona,,Newfoundland and Labrador,CA,49.3305861,-54.7841194,ardac,0.6,True,49.3904,-54.9809
NL63,Bayview,,Newfoundland and Labrador,CA,49.6138889,-54.7436111,ardac,3.3,True,49.5754,-54.7345
NL64,Beachside,,Newfoundland and Labrador,CA,49.6428889,-55.8991139,ardac,1.2,True,49.5081,-55.6798
NL65,Beachy Cove,,Newfoundland and Labrador,CA,47.5969445,-53.2525,ardac,0.5,True,47.5586,-53.2452
NL66,Bear Cove,,Newfoundland and Labrador,CA,49.6005555,-57.9272222,ardac,0.5,True,49.5624,-57.9152
NL67,Bear Cove,,Newfoundland and Labrador,CA,49.8441667,-56.5661111,ardac,0.4,True,49.9004,-56.7679
NL68,Beaumont,,Newfoundland and Labrador,CA,49.6127778,-55.6794445,ardac,2.0,True,49.5744,-55.6695
