id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
NT1,Aklavik,,Northwest Territories,CA,68.22,-135.0087,ardac,49.4,True,68.7264,-136.5446
NT2,Behchokǫ̀,Rae-Edzo,Northwest Territories,CA,62.8335,-116.0514,ardac,550.4,False,66.7824,-107.9795
NT3,CanTung Mine,,Northwest Territories,CA,61.9717,-128.2683,ardac,476.8,False,58.7507,-134.8651
NT4,Colville Lake,K'áhbamį́túé,Northwest Territories,CA,67.0399,-126.0912,ardac,255.2,False,69.36,-125.5835
NT5,ConocoPhillips EL470 Base Camp,,Northwest Territories,CA,65.0534,-127.0355,ardac,479.6,False,69.4078,-125.5347
NT6,Daring Lake Research Station,,Northwest Territories,CA,64.52,-111.35,ardac,278.3,False,66.6905,-107.808
NT7,Deline,Délı̨nę,Northwest Territories,CA,65.1897,-123.4244,ardac,461.4,False,69.325,-124.0822
NT8,Dettah,Tʼèɂehdaà,Northwest Territories,CA,62.4112,-114.3084,ardac,554.2,False,66.8279,-107.7312
NT9,Diavik Mine,,Northwest Territories,CA,64.5114,-110.2897,ardac,248.3,False,66.6944,-107.954
NT10,Ekati Mine,,Northwest Territories,CA,64.6172,-110.1328,ardac,234.4,False,66.7976,-107.7734
NT11,Enterprise,,Northwest Territories,CA,60.5555,-116.1472,ardac,781.4,False,,
NT12,Fort Good Hope,Rádeyîlîkóé,Northwest Territories,CA,66.257,-128.6377,ardac,326.9,False,69.2169,-130.894
NT13,Fort Liard,Echaot'l Koe,Northwest Territories,CA,60.2392,-123.4752,ardac,616.1,False,,
NT14,Fort McPherson,Teetł'it Zheh,Northwest Territories,CA,67.4365,-134.8833,ardac,136.7,False,68.6439,-136.6433
NT15,Fort Providence,Zhahti Koe,Northwest Territories,CA,61.3552,-117.6542,ardac,726.8,False,,
NT16,Fort Resolution,Denı́nu Kų́ę́,Northwest Territories,CA,61.171,-113.6721,ardac,657.0,False,,
NT17,Fort Simpson,Łı́ı́dlı̨ı̨ Kų́ę́,Northwest Territories,CA,61.8609,-121.3527,ardac,723.5,False,,
NT18,Fort Smith,Thebacha,Northwest Territories,CA,60.0053,-111.8829,ardac,743.6,False,,
NT19,Gahcho Kue Mine,,Northwest Territories,CA,63.5047,-109.0461,ardac,327.6,False,66.7335,-107.775
NT20,Gamètì,,Northwest Territories,CA,64.1129,-117.3525,ardac,422.9,False,67.783,-114.9848
NT21,Hay River,Xátł'odehchee,Northwest Territories,CA,60.8097,-115.7898,ardac,747.0,False,,
NT22,Hay River Reserve,K'atlodeech First Nation,Northwest Territories,CA,60.7939,-115.704,ardac,746.2,False,,
NT23,Husky Slater River Base Camp,,Northwest Territories,CA,65.0077,-126.4355,ardac,481.7,False,69.4879,-125.3975
NT24,Inuvik,,Northwest Territories,CA,68.361,-133.73,ardac,44.8,True,69.2794,-133.6188
NT25,Jean Marie River,Tthek'éhdélį,Northwest Territories,CA,61.525,-120.6278,ardac,745.9,False,,
NT26,Kakisa,K'ágee,Northwest Territories,CA,60.9407,-117.4159,ardac,769.9,False,,
NT27,Łutselkʼe,,Northwest Territories,CA,62.4041,-110.7382,ardac,470.0,False,66.8109,-107.8819
NT28,Nahanni Butte,Tthenáágó,Northwest Territories,CA,61.0356,-123.3832,ardac,648.2,False,,
NT29,Ndilǫ,,Northwest Territories,CA,62.4736,-114.3361,ardac,549.3,False,66.7202,-107.7764
NT30,Nechalacho/Thor Lake,,Northwest Territories,CA,62.0989,-112.5936,ardac,538.9,False,,
NT31,NICO Mine,,Northwest Territories,CA,63.55,-116.7458,ardac,477.8,False,67.8888,-114.8648
NT32,Norman Wells,Tłegǫ́hłı̨,Northwest Territories,CA,65.2811,-126.8316,ardac,453.3,False,69.4291,-125.6484
NT33,Paulatuk,,Northwest Territories,CA,69.3503,-124.06,ardac,1.2,True,69.3452,-124.0386
NT34,Pine Point Mine,,Northwest Territories,CA,60.8335,-114.4679,ardac,709.9,False,,
NT35,Prairie Creek Mine,,Northwest Territories,CA,61.55,-124.8,ardac,603.9,False,,
NT36,Sachs Harbour,Ikahuak,Northwest Territories,CA,71.9867,-125.2505,ardac,1.0,True,71.9453,-125.7636
NT37,Sambaa K’e,,Northwest Territories,CA,60.4426,-121.2424,ardac,721.9,False,,
NT38,Snap Lake Mine,,Northwest Territories,CA,63.6056,-110.8667,ardac,349.6,False,66.8161,-108.088
NT39,Tsiigehtchic,,Northwest Territories,CA,67.4424,-133.7424,ardac,142.2,False,68.693,-136.4923
NT40,Tuktoyaktuk,,Northwest Territories,CA,69.4509,-133.0358,ardac,0.7,True,69.4469,-133.0125
NT41,Tulita,,Northwest Territories,CA,64.9006,-125.5763,ardac,491.7,False,69.4075,-123.8925
NT42,Ulukhaktok,,Northwest Territories,CA,70.7366,-117.772,ardac,0.9,True,70.7308,-117.7508
NT43,Wekweètì,,Northwest Territories,CA,64.1892,-114.1861,ardac,390.4,False,67.7841,-114.5004
NT44,Whatì,,Northwest Territories,CA,63.1449,-117.2743,ardac,527.7,False,67.8423,-115.1177
NT45,Wrigley,Pedzéh Kñ,Northwest Territories,CA,63.2268,-123.4667,ardac,634.6,False,67.7806,-115.1535
NT46,Yellowknife,Sǫ̀mbak'è,Northwest Territories,CA,62.4536,-114.37,ardac,552.1,False,66.7019,-107.8212
