id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
NO1,Åseral,,Agder,NO,58.6173,7.4112,ardac,50.8,True,58.238,6.9536
NO2,Audnedal,,Agder,NO,58.2838,7.3549,ardac,23.8,True,58.073,7.4768
NO3,Farsund,,Agder,NO,58.0954,6.804,ardac,0.5,True,58.0414,6.9153
NO4,Flekkefjord,,Agder,NO,58.2979,6.6635,ardac,0.7,True,58.2366,6.4802
NO5,Hægebostad,,Agder,NO,58.3757,7.2197,ardac,24.8,True,58.1521,6.7531
NO6,Justvik,,Agder,NO,58.1969,8.0311,ardac,0.8,True,58.1418,8.1408
NO7,Kristiansand,,Agder,NO,58.1464,7.9969,ardac,0.7,True,58.0914,8.1065
NO8,Kvinesdal,,Agder,NO,58.2389,6.7145,ardac,1.9,True,58.1849,6.8264
NO9,Liknes,,Agder,NO,58.3122,6.9618,ardac,8.2,True,58.095,6.7918
NO10,Lindesnes,,Agder,NO,58.0844,7.3016,ardac,4.2,True,58.0299,7.4121
NO11,Lyngdal,,Agder,NO,58.1383,7.0684,ardac,4.7,True,58.0775,6.8852
NO12,Mandal,,Agder,NO,58.0263,7.4501,ardac,3.7,True,57.9717,7.5602
NO13,Marnardal,,Agder,NO,58.198,7.528,ardac,16.6,True,58.1482,7.9333
NO14,Nodeland,,Agder,NO,58.1552,7.8358,ardac,7.7,True,58.1003,7.9457
NO15,Sirdal,,Agder,NO,58.6651,6.7159,ardac,34.3,True,58.2914,6.5608
NO16,Skålevik,,Agder,NO,58.0796,8.016,ardac,3.8,True,58.0246,8.1254
NO17,Songdalen,,Agder,NO,58.1527,7.8368,ardac,7.5,True,58.0978,7.9467
NO18,Søgne,,Agder,NO,58.0966,7.8149,ardac,4.6,True,58.0417,7.9247
NO19,Strai,,Agder,NO,58.1893,7.9283,ardac,5.7,True,58.1343,8.0382
NO20,Tonstad,,Agder,NO,58.6626,6.7169,ardac,34.5,True,58.2889,6.5618
NO21,Tveit,,Agder,NO,58.2337,8.122,ardac,5.5,True,58.1786,8.2317
NO22,Vanse,,Agder,NO,58.0981,6.6918,ardac,1.8,True,58.0441,6.8033
NO23,Vennesla,,Agder,NO,58.3427,7.976,ardac,13.4,True,58.1313,8.0945
NO24,Vestbygd,,Agder,NO,58.0999,6.587,ardac,2.7,True,58.046,6.6986
NO25,Vigeland,,Agder,NO,58.0844,7.305,ardac,4.4,True,58.0299,7.4155
NO26,Alvdal,,Innlandet,NO,62.1085,10.6348,ardac,124.5,False,63.1478,9.0643
NO27,Åmot,,Innlandet,NO,61.132,11.3733,ardac,140.7,False,59.5152,10.4996
NO28,Åsnes,,Innlandet,NO,60.6136,12.012,ardac,106.5,False,59.4742,10.5247
NO29,Bagn,,Innlandet,NO,60.8225,9.5521,ardac,110.5,False,59.5137,10.2932
NO30,Brumunddal,,Innlandet,NO,60.881,10.9395,ardac,108.6,False,59.4178,10.3987
NO31,Dokka,,Innlandet,NO,60.835,10.0736,ardac,108.1,False,59.525,10.4884
NO32,Dombås,,Innlandet,NO,62.0755,9.1279,ardac,71.3,True,62.6226,7.2091
NO33,Dovre,,Innlandet,NO,61.9858,9.2495,ardac,83.0,True,63.0151,7.9799
NO34,Eidskog,,Innlandet,NO,59.9856,12.125,ardac,77.7,True,59.3155,10.9746
NO35,Elverum,,Innlandet,NO,60.8816,11.5631,ardac,118.1,False,59.4238,10.3843
NO36,Engerdal,,Innlandet,NO,61.7577,11.9597,ardac,189.3,False,63.1222,9.0851
NO37,Etnedal,,Innlandet,NO,60.8887,9.6403,ardac,112.0,False,59.4229,10.3778
NO38,Fagernes,,Innlandet,NO,60.9858,9.2324,ardac,87.5,True,59.5218,10.2961
NO39,Folldal,,Innlandet,NO,62.1333,9.9971,ardac,95.2,True,63.1714,9.0905
NO40,Fossbergom,,Innlandet,NO,61.8377,8.5684,ardac,65.9,True,62.5413,6.9738
NO41,Gausdal,,Innlandet,NO,61.2269,10.2215,ardac,136.2,False,59.4477,10.3207
NO42,Gjøvik,,Innlandet,NO,60.7947,10.6929,ardac,98.1,True,59.4865,10.471
NO43,Gran,,Innlandet,NO,60.3929,10.5605,ardac,53.9,True,59.3977,10.3493
NO44,Grua,,Innlandet,NO,60.257,10.6622,ardac,38.4,True,59.4185,10.451
NO45,Grue,,Innlandet,NO,60.4513,12.0549,ardac,95.7,True,59.3109,10.878
NO46,Hamar,,Innlandet,NO,60.7945,11.068,ardac,100.3,False,59.4883,10.5255
NO47,Hov,,Innlandet,NO,60.6987,10.3519,ardac,89.4,True,59.3893,10.449
NO48,Hundorp,,Innlandet,NO,61.5552,9.9407,ardac,125.7,False,62.5664,7.0285
NO49,Innbygda,,Innlandet,NO,61.3148,12.2637,ardac,178.2,False,59.3962,10.4142
NO50,Jevnaker,,Innlandet,NO,60.2406,10.3859,ardac,40.3,True,59.401,10.4871
NO51,Kirkenær,,Innlandet,NO,60.4579,12.0586,ardac,96.3,True,59.3175,10.8814
NO52,Kongsvinger,,Innlandet,NO,60.1912,11.9992,ardac,77.3,True,59.3613,11.1457
NO53,Koppang,,Innlandet,NO,61.5722,11.0466,ardac,178.0,False,63.2413,9.163
NO54,Lena,,Innlandet,NO,60.6739,10.8132,ardac,85.0,True,59.5234,10.2836
NO55,Lesja,,Innlandet,NO,62.1179,8.8626,ardac,62.1,True,62.9922,7.9282
NO56,Lillehammer,,Innlandet,NO,61.1146,10.4674,ardac,134.2,False,59.3354,10.5536
NO57,Lom,,Innlandet,NO,61.8364,8.5681,ardac,65.8,True,62.54,6.9735
NO58,Løten,,Innlandet,NO,60.8177,11.3437,ardac,107.0,False,59.514,10.4838
NO59,Lunner,,Innlandet,NO,60.2946,10.6086,ardac,42.8,True,59.456,10.3985
NO60,Moelv,,Innlandet,NO,60.9333,10.7,ardac,113.5,False,59.4685,10.4747
NO61,Nord-Aurdal,,Innlandet,NO,60.9853,9.2366,ardac,87.8,True,59.5212,10.3001
NO62,Nord-Fron,,Innlandet,NO,61.5956,9.7483,ardac,116.8,False,62.6096,7.1629
NO63,Nord-Odal,,Innlandet,NO,60.392,11.5415,ardac,71.0,True,59.4039,10.3854
NO64,Nordre Land,,Innlandet,NO,60.8347,10.0754,ardac,108.0,False,59.5247,10.4901
NO65,Os,,Innlandet,NO,62.4954,11.2281,ardac,99.0,True,63.5411,9.6578
NO66,Otta,,Innlandet,NO,61.7712,9.5353,ardac,109.3,False,63.1226,8.9524
NO67,Østre Toten,,Innlandet,NO,60.6766,10.82,ardac,85.3,True,59.5261,10.2901
NO68,Øyer,,Innlandet,NO,61.265,10.413,ardac,146.5,False,59.4857,10.5024
NO69,Øystre Slidre,,Innlandet,NO,61.1338,9.0787,ardac,75.5,True,62.6199,7.1309
NO70,Raufoss,,Innlandet,NO,60.726,10.6133,ardac,90.6,True,59.4177,10.3949
NO71,Reinsvoll,,Innlandet,NO,60.6798,10.6218,ardac,85.4,True,59.528,10.4052
NO72,Rena,,Innlandet,NO,61.1322,11.3716,ardac,140.7,False,59.5154,10.4979
NO73,Rendalen,,Innlandet,NO,61.89,11.0769,ardac,157.1,False,63.2461,9.1835
NO74,Ringebu,,Innlandet,NO,61.5298,10.1418,ardac,135.4,False,62.545,7.2384
NO75,Ringsaker,,Innlandet,NO,60.8822,10.9503,ardac,108.8,False,59.419,10.409
NO76,Sand,,Innlandet,NO,60.3922,11.5403,ardac,70.9,True,59.4041,10.3842
NO77,Sel,,Innlandet,NO,61.7728,9.5342,ardac,109.2,False,63.1241,8.9512
NO78,Skarnes,,Innlandet,NO,60.2539,11.6849,ardac,66.0,True,59.4236,10.5317
NO79,Skjåk,,Innlandet,NO,61.8835,8.2649,ardac,57.6,True,62.5909,6.9976
NO80,Skotterud,,Innlandet,NO,59.9828,12.1283,ardac,77.8,True,59.3127,10.978
NO81,Skreia,,Innlandet,NO,60.6526,10.9356,ardac,83.4,True,59.5025,10.4022
NO82,Søndre Land,,Innlandet,NO,60.6994,10.3509,ardac,89.5,True,59.39,10.4481
NO83,Sør-Aurdal,,Innlandet,NO,60.8224,9.5484,ardac,110.3,False,59.5137,10.2897
