id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
NU1,Alert,,Nunavut,CA,82.5,-62.3667,ardac,0.5,True,82.5448,-62.7057
NU2,Alexandra Fiord,,Nunavut,CA,78.8833,-75.8,ardac,1.0,True,78.9546,-75.1834
NU3,Amadjuak,,Nunavut,CA,64.0167,-72.65,ardac,0.3,True,63.8805,-72.7048
NU4,Apex,,Nunavut,CA,63.7222,-68.4489,ardac,0.8,True,63.5877,-68.5234
NU5,Arctic Bay,Ikpiarjuk / ᐃᒃᐱᐊᕐᔪᒃ,Nunavut,CA,73.0333,-85.1667,ardac,0.4,True,73.0584,-85.3632
NU6,Arviat,ᐊᕐᕕᐊᑦ,Nunavut,CA,61.1083,-94.0583,ardac,0.2,True,61.0546,-93.7037
NU7,Baker Lake,Qamani’tuaq / ᖃᒪᓂᑦᑐᐊᖅ,Nunavut,CA,64.3194,-96.0208,ardac,112.6,False,62.5541,-92.2624
NU8,Bathurst Inlet,Qingaut / ᕿᙵᐅᓐ,Nunavut,CA,66.8389,-108.0486,ardac,1.4,True,67.0696,-107.5664
NU9,Cambridge Bay,Iqaluktuuttiaq / ᐃᖃᓗᒃᑑᑦᑎᐊᖅ,Nunavut,CA,69.1139,-105.0528,ardac,1.4,True,69.119,-105.2236
NU10,Cape Dyer,,Nunavut,CA,66.6667,-61.3667,ardac,3.1,True,66.7124,-61.4763
NU11,Cape Smith,,Nunavut,CA,60.7333,-78.4667,ardac,2.2,True,60.7658,-78.5757
NU12,Charlton Depot,,Nunavut,CA,51.9667,-79.3167,ardac,1.0,True,51.9996,-79.4021
NU13,Chesterfield Inlet,Igluligaarjuk / ᐃᒡᓗᓕᒑᕐᔪᒃ,Nunavut,CA,63.3389,-90.7014,ardac,1.0,True,63.4328,-90.4831
NU14,Clyde River,Kangiqtugaapik / ᑲᖏᖅᑐᒑᐱᒃ,Nunavut,CA,70.4681,-68.5944,ardac,0.2,True,70.5083,-68.7394
NU15,Coral Harbour,Salliq / ᓴᓪᓖᑦ,Nunavut,CA,64.1333,-83.1667,ardac,0.9,True,63.9962,-83.1693
NU16,Craig Harbour,,Nunavut,CA,76.2069,-81.0,ardac,0.4,True,76.2358,-81.2339
NU17,Dundas Harbour,,Nunavut,CA,74.5333,-82.3833,ardac,0.2,True,74.3954,-82.3835
NU18,Ennadai,,Nunavut,CA,61.1333,-100.8833,ardac,352.1,False,60.2619,-94.6678
NU19,Eureka,,Nunavut,CA,79.9833,-85.95,ardac,0.9,True,80.007,-86.2845
NU20,Fort Conger,,Nunavut,CA,81.75,-64.75,ardac,2.1,True,81.6175,-65.0278
NU21,Fort Hope,,Nunavut,CA,66.5333,-86.7,ardac,1.8,True,66.4609,-86.2783
NU22,Fort Ross,,Nunavut,CA,72.0,-94.2333,ardac,1.6,True,71.8659,-94.1479
NU23,Fullerton,,Nunavut,CA,64.0,-88.9833,ardac,1.0,True,63.8644,-88.957
NU24,Gjoa Haven,Uqsuqtuuq / ᐅᖅᓱᖅᑑᖅ,Nunavut,CA,68.625,-95.8778,ardac,1.6,True,68.4923,-95.799
NU25,Grise Fiord,Aujuittuq / ᐊᐅᔪᐃᑦᑐᖅ,Nunavut,CA,76.4167,-82.8958,ardac,1.2,True,76.2787,-82.8894
NU26,Hazen Camp,,Nunavut,CA,81.8167,-71.3333,ardac,34.1,True,81.5881,-65.3861
NU27,Igloolik,Iglulik / ᐃᒡᓗᓕᒃ,Nunavut,CA,69.3833,-81.8,ardac,0.8,True,69.4119,-81.958
NU28,Ikaaqtalik,ᐃᑳᖅᑕᓕᒃ,Nunavut,CA,72.8169,-76.4614,ardac,4.7,True,72.7178,-75.9341
NU29,Iqaluit,ᐃᖃᓗᐃᑦ,Nunavut,CA,63.75,-68.5167,ardac,0.7,True,63.6154,-68.591
NU30,Isachsen,,Nunavut,CA,78.7833,-103.5,ardac,0.6,True,78.7886,-103.8197
NU31,Kekerten,,Nunavut,CA,65.7153,-65.8278,ardac,1.9,True,65.7578,-65.9409
