id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
ON1,10th Line Shore,,Ontario,CA,45.0919,-76.1506,ardac,116.2,False
ON2,Aberarder,,Ontario,CA,43.0528,-82.0939,ardac,641.8,False
ON3,Aberdeen,,Ontario,CA,44.2128,-80.8619,ardac,506.5,False
ON4,Aberdeen,,Ontario,CA,45.4969,-74.6664,ardac,23.9,True
ON5,Aberfeldy,,Ontario,CA,42.7571,-81.9375,ardac,642.6,False
ON6,Aberfoyle,,Ontario,CA,43.4708,-80.1468,ardac,474.4,False
ON7,Abingdon,,Ontario,CA,43.0836,-79.685,ardac,458.1,False
ON8,Abitibi,,Ontario,CA,49.0252,-80.8851,ardac,218.7,False
ON9,Abitibi Canyon,,Ontario,CA,49.8778,-81.5711,ardac,132.4,False
ON10,Abiwin,,Ontario,CA,48.7444,-91.0664,ardac,758.5,False
ON11,Acanthus,,Ontario,CA,46.0307,-78.4044,ardac,315.0,False
ON12,Achigan,,Ontario,CA,46.8842,-84.1714,ardac,512.2,False
ON13,Achill,,Ontario,CA,44.0164,-79.9158,ardac,436.6,False
ON14,Achray,,Ontario,CA,45.8677,-77.7571,ardac,260.9,False
ON15,Actinolite,,Ontario,CA,44.5439,-77.3261,ardac,217.2,False
ON16,Actons Corners,,Ontario,CA,44.9897,-75.7125,ardac,80.6,True
ON17,Adamsdale,,Ontario,CA,46.4894,-80.9078,ardac,480.0,False
ON18,Adamsville,,Ontario,CA,44.8599,-81.1636,ardac,520.6,False
ON19,Adanac,,Ontario,CA,45.4245,-80.3893,ardac,457.7,False
ON20,Adanac,,Ontario,CA,46.9722,-80.0313,ardac,415.9,False
ON21,Addison,,Ontario,CA,44.6606,-75.8822,ardac,101.5,False
ON22,Adelaide,,Ontario,CA,43.0051,-81.7121,ardac,614.3,False
ON23,Adelard,,Ontario,CA,46.2133,-78.0194,ardac,294.5,False
ON24,Admaston,,Ontario,CA,45.4752,-76.8103,ardac,176.0,False
ON25,Adolphustown,,Ontario,CA,44.0636,-77.0033,ardac,212.2,False
ON26,Advance,,Ontario,CA,45.8685,-82.429,ardac,575.0,False
ON27,Agate,,Ontario,CA,48.5227,-82.9636,ardac,310.5,False
ON28,Agawa,,Ontario,CA,47.6654,-84.5026,ardac,450.7,False
ON29,Agawa Bay,,Ontario,CA,47.3479,-84.6266,ardac,485.1,False
ON30,Agerton,,Ontario,CA,43.5556,-79.8078,ardac,444.9,False
ON31,Agincourt,,Ontario,CA,43.7926,-79.2839,ardac,395.1,False
ON32,Agincourt North,,Ontario,CA,43.8028,-79.2686,ardac,393.5,False
ON33,Agonzon,,Ontario,CA,48.9325,-85.9281,ardac,424.4,False
ON34,Ahmic Harbour,,Ontario,CA,45.6615,-79.7775,ardac,411.6,False
ON35,Ahmic Lake,,Ontario,CA,45.6253,-79.6871,ardac,404.0,False
ON36,Aikensville,,Ontario,CA,43.4296,-80.2333,ardac,482.8,False
ON37,Ailsa Craig,,Ontario,CA,43.1514,-81.5365,ardac,594.6,False
ON38,Airlie,,Ontario,CA,44.261,-80.0083,ardac,437.2,False
ON39,Airy,,Ontario,CA,45.4985,-78.2568,ardac,289.2,False
ON40,Ajax,,Ontario,CA,43.8582,-79.0364,ardac,373.5,False
ON41,Akron,,Ontario,CA,48.9035,-84.117,ardac,325.1,False
ON42,Alban,,Ontario,CA,46.1051,-80.6226,ardac,485.8,False
ON43,Albany Forks,,Ontario,CA,49.1167,-84.1811,ardac,311.6,False
ON44,Albert,,Ontario,CA,44.3173,-77.1346,ardac,210.0,False
ON45,Alberton,,Ontario,CA,43.1867,-80.0713,ardac,481.5,False
ON46,Albion,,Ontario,CA,43.9069,-79.8461,ardac,434.6,False
ON47,Albion Falls,,Ontario,CA,43.1972,-79.8183,ardac,462.1,False
ON48,Albuna,,Ontario,CA,42.1361,-82.6381,ardac,726.0,False
ON49,Albury,,Ontario,CA,44.0793,-77.5282,ardac,249.8,False
ON50,Alcona,,Ontario,CA,44.315,-79.5462,ardac,399.1,False
ON51,Alcona,,Ontario,CA,50.0659,-91.7409,ardac,695.4,False
ON52,Aldborough,,Ontario,CA,42.589,-81.6693,ardac,630.4,False
ON53,Alden,,Ontario,CA,48.1914,-84.5436,ardac,405.5,False
ON54,Alder,,Ontario,CA,44.1836,-79.3837,ardac,389.6,False
ON55,Alderdale,,Ontario,CA,46.1004,-79.2611,ardac,381.6,False
ON56,Aldershot,,Ontario,CA,43.3088,-79.841,ardac,458.4,False
ON57,Alderslea,,Ontario,CA,44.3226,-79.5373,ardac,398.2,False
ON58,Alderville,,Ontario,CA,44.1814,-78.0661,ardac,286.5,False
ON59,Alderwood,,Ontario,CA,43.6086,-79.5388,ardac,422.1,False
ON60,Aldred's Beach,,Ontario,CA,44.1644,-78.8608,ardac,349.0,False
ON61,Alexandria,,Ontario,CA,45.3094,-74.633,ardac,20.3,True
ON62,Alexo,,Ontario,CA,48.6676,-80.8179,ardac,251.3,False
ON63,Alfred,,Ontario,CA,45.5561,-74.8878,ardac,40.5,True
ON64,Alfred Station,,Ontario,CA,45.5294,-74.8928,ardac,41.1,True
ON65,Algo,,Ontario,CA,46.5096,-80.9732,ardac,479.1,False
ON66,Algoma Mills,,Ontario,CA,46.1853,-82.8127,ardac,547.6,False
ON67,Algonquin,,Ontario,CA,44.7032,-75.6696,ardac,83.7,True
ON68,Algonquin Park,,Ontario,CA,45.5517,-78.5958,ardac,316.8,False
ON69,Alice,,Ontario,CA,45.7572,-77.29,ardac,222.0,False
ON70,Allan,,Ontario,CA,44.6196,-77.4774,ardac,227.4,False
ON71,Allan Mills,,Ontario,CA,44.4083,-77.7222,ardac,252.2,False
ON72,Allan Park,,Ontario,CA,44.1672,-80.9325,ardac,513.2,False
ON73,Allanburg,,Ontario,CA,43.0763,-79.2082,ardac,424.0,False
ON74,Allans Corners,,Ontario,CA,45.6781,-77.0956,ardac,204.5,False
ON75,Allanwater Bridge,,Ontario,CA,50.2396,-90.1676,ardac,618.2,False
ON76,Allen's Corners,,Ontario,CA,43.1192,-79.5881,ardac,449.1,False
ON77,Allenford,,Ontario,CA,44.5363,-81.1778,ardac,525.6,False
ON78,Allensville,,Ontario,CA,45.2615,-79.3044,ardac,370.0,False
ON79,Allenwood,,Ontario,CA,44.5762,-79.954,ardac,426.5,False
ON80,Allenwood Beach,,Ontario,CA,44.5736,-79.9917,ardac,429.6,False
ON81,Allimil,,Ontario,CA,44.111,-79.7929,ardac,424.1,False
ON82,Allisonville,,Ontario,CA,44.0298,-77.3676,ardac,240.3,False
ON83,Alliston,,Ontario,CA,44.1536,-79.8642,ardac,428.5,False
ON84,Alloa,,Ontario,CA,43.7044,-79.8564,ardac,442.7,False
ON85,Allsaw,,Ontario,CA,44.9889,-78.6111,ardac,314.1,False
ON86,Alma,,Ontario,CA,43.7303,-80.5024,ardac,492.0,False
ON87,Alma Station,,Ontario,CA,43.725,-80.495,ardac,491.6,False
ON88,Almira,,Ontario,CA,43.9322,-79.3367,ardac,394.0,False
ON89,Almonte,,Ontario,CA,45.2249,-76.1951,ardac,121.7,False
ON90,Alpine Village,,Ontario,CA,44.5764,-78.4719,ardac,307.6,False
ON91,Alpine Village,,Ontario,CA,43.4236,-80.4803,ardac,502.0,False
ON92,Alport,,Ontario,CA,45.0224,-79.3535,ardac,373.8,False
ON93,Alsace,,Ontario,CA,46.0336,-79.5439,ardac,401.2,False
ON94,Alsfeldt,,Ontario,CA,44.0103,-80.9429,ardac,518.1,False
ON95,Alsops Beach,,Ontario,CA,44.4472,-79.1575,ardac,365.1,False
ON96,Alta Vista,,Ontario,CA,45.3864,-75.6581,ardac,86.8,True
ON97,Althorpe,,Ontario,CA,44.7575,-76.4754,ardac,144.8,False
ON98,Alton,,Ontario,CA,43.8593,-80.0689,ardac,453.6,False
ON99,Altona,,Ontario,CA,43.9764,-79.1969,ardac,381.5,False
ON100,Alva,,Ontario,CA,47.0421,-84.0288,ardac,491.8,False
ON101,Alvanley,,Ontario,CA,44.5391,-81.1199,ardac,520.9,False
ON102,Alvinston,,Ontario,CA,42.8261,-81.8639,ardac,633.9,False
ON103,Amaranth Station,,Ontario,CA,43.9028,-80.2356,ardac,465.3,False
ON104,Ambassador Beach,,Ontario,CA,42.0131,-82.9855,ardac,758.3,False
ON105,Amberley,,Ontario,CA,44.0431,-81.7164,ardac,578.9,False
ON106,Ambleside,,Ontario,CA,44.0126,-81.1993,ardac,538.5,False
ON107,Ameliasburg,,Ontario,CA,44.0591,-77.4349,ardac,243.8,False
ON108,Amesdale,,Ontario,CA,50.0158,-92.9343,ardac,752.5,False
ON109,Ameson,,Ontario,CA,49.8061,-84.5678,ardac,288.5,False
ON110,Amethyst Harbour,,Ontario,CA,48.5427,-88.8729,ardac,633.4,False
ON111,Amherst Pointe,,Ontario,CA,42.0558,-83.1147,ardac,765.8,False
ON112,Amherstburg,,Ontario,CA,42.1042,-83.1035,ardac,762.5,False
ON113,Amherstburg,,Ontario,CA,42.1172,-83.0442,ardac,757.4,False
ON114,Amherstview,,Ontario,CA,44.2233,-76.6454,ardac,178.1,False
ON115,Amigari Downs,,Ontario,CA,42.9294,-78.9453,ardac,414.1,False
ON116,Amigo Beach,,Ontario,CA,44.6864,-79.3925,ardac,379.7,False
ON117,Amulree,,Ontario,CA,43.425,-80.8383,ardac,529.5,False
ON118,Amwri,,Ontario,CA,48.8092,-85.8771,ardac,429.3,False
ON119,Amyot,,Ontario,CA,48.4831,-84.9536,ardac,401.4,False
ON120,Ancaster,,Ontario,CA,43.2092,-80.0119,ardac,475.9,False
ON121,Ancaster Heights,,Ontario,CA,43.2375,-79.9644,ardac,471.0,False
ON122,Ancliff,,Ontario,CA,48.7017,-88.5825,ardac,606.0,False
ON123,Ancona Point,,Ontario,CA,44.5032,-78.6144,ardac,320.5,False
ON124,Anderson,,Ontario,CA,43.3153,-81.244,ardac,565.3,False
ON125,Anderson,,Ontario,CA,44.2022,-76.9282,ardac,199.7,False
ON126,Anderson Lake,,Ontario,CA,46.2306,-81.7332,ardac,525.3,False
ON127,Anderson Lake Station,,Ontario,CA,46.2264,-81.7115,ardac,525.2,False
ON128,Andrewsville,,Ontario,CA,44.9518,-75.8204,ardac,89.4,True
ON129,Andy's Corners,,Ontario,CA,42.7631,-80.5939,ardac,541.6,False
ON130,Angling Lake,,Ontario,CA,53.8448,-89.531,ardac,269.7,False
ON131,Angus,,Ontario,CA,44.319,-79.8789,ardac,425.5,False
ON132,Anjigami,,Ontario,CA,47.8832,-84.5418,ardac,432.6,False
