id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
QC1,Aakulujjuup Tasingata Aarianga,,Quebec,CA,59.904166,-70.492777,ardac,7.3,True,59.8948,-69.7038
QC2,Aasiwaskwasich,,Quebec,CA,55.104444,-76.878889,ardac,55.8,True,55.4898,-77.2508
QC3,Abana,,Quebec,CA,48.952369,-79.339577,ardac,196.8,False,51.2674,-78.9139
QC4,Abbotsford,,Quebec,CA,45.4377778,-72.8838889,ardac,49.2,True,47.899,-69.6416
QC5,Abbott's Corner,,Quebec,CA,45.0372222,-72.7925,ardac,72.7,True,47.8608,-69.6106
QC6,Abenakis Springs,,Quebec,CA,46.0802778,-72.8647222,ardac,6.4,True,47.8063,-69.5012
QC7,Abercorn,,Quebec,CA,45.0333334,-72.6666667,ardac,81.2,True,47.8524,-69.4769
QC8,Abercorn,,Quebec,CA,45.0322222,-72.6608333,ardac,81.7,True,47.8511,-69.4708
QC9,Abénakis,,Quebec,CA,46.5836111,-70.8205556,ardac,33.4,True,47.7973,-69.5205
QC10,Achakakunikach,,Quebec,CA,55.199722,-74.965278,ardac,140.0,False,56.1173,-76.2907
QC11,Achimasahitunanuch,,Quebec,CA,55.736667,-74.686667,ardac,126.2,False,56.0084,-76.3815
QC12,Achipaschiwikuyasinanuch,,Quebec,CA,55.094444,-75.215556,ardac,133.8,False,56.1224,-76.1651
QC13,Achiwapaschikisit,,Quebec,CA,52.9675,-78.941111,ardac,4.2,True,52.9336,-78.908
QC14,Acton Vale,,Quebec,CA,45.64786,-72.564786,ardac,58.7,True,47.7945,-69.4816
QC15,Acton Vale,,Quebec,CA,45.6469444,-72.5647222,ardac,58.8,True,47.7936,-69.4816
QC16,Adalômkamek,,Quebec,CA,46.0855556,-72.8138889,ardac,6.8,True,47.8097,-69.448
QC17,Adamsville,,Quebec,CA,45.2788889,-72.7861111,ardac,60.1,True,47.7351,-69.5504
QC18,Adderley,,Quebec,CA,46.1977778,-71.5802778,ardac,49.9,True,47.7517,-69.5799
QC19,Adirondack,,Quebec,CA,45.402327,-73.654016,ardac,4.2,True,47.7898,-69.4549
QC20,Adstock,,Quebec,CA,46.047466,-71.07761,ardac,80.3,True,47.7196,-69.5168
QC21,Aguanish,,Quebec,CA,50.2222222,-62.0847222,ardac,4.0,True,50.1846,-62.0686
QC22,Aguanish,,Quebec,CA,50.221832,-62.080679,ardac,4.1,True,50.1842,-62.0646
QC23,Ahuntsic,,Quebec,CA,45.5625,-73.6625,ardac,1.5,True,47.7991,-69.544
QC24,Ahuntsic-Cartierville,,Quebec,CA,45.55,-73.666667,ardac,2.2,True,47.7867,-69.5496
