id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
RU1,Алейск,Aleysk,Altai Krai,RU,52.497,82.7732,ardac,1597.7,False,,
RU2,Барнаул,Barnaul,Altai Krai,RU,53.3475,83.7788,ardac,1535.5,False,,
RU3,Белокуриха,Belokurikha,Altai Krai,RU,51.9995,84.9861,ardac,1698.5,False,,
RU4,Бийск,Biysk,Altai Krai,RU,52.5395,85.2149,ardac,1650.9,False,,
RU5,Горняк,Gornyak,Altai Krai,RU,51.0005,81.4639,ardac,1722.3,False,,
RU6,Камень-на-Оби,Kamen-na-Obi,Altai Krai,RU,53.7937,81.3516,ardac,1437.0,False,,
RU7,Новоалтайск,Novoaltaysk,Altai Krai,RU,53.3933,83.9394,ardac,1534.8,False,,
RU8,Рубцовск,Rubtsovsk,Altai Krai,RU,51.5276,81.2176,ardac,1664.2,False,,
RU9,Славгород,Slavgorod,Altai Krai,RU,52.9969,78.6485,ardac,1471.1,False,,
RU10,Яровое,Yarovoye,Altai Krai,RU,52.9197,78.5636,ardac,1477.9,False,,
RU11,Заринск,Zarinsk,Altai Krai,RU,53.7079,84.9349,ardac,1527.5,False,,
RU12,Змеиногорск,Zmeinogorsk,Altai Krai,RU,51.1545,82.198,ardac,1720.9,False,,
RU13,Горно-Алтайск,Gorno-Altaysk,Altai Republic,RU,51.9578,85.9637,ardac,1721.9,False,,
RU14,Белогорск,Belogorsk,Amur Oblast,RU,50.9213,128.4729,ardac,624.6,False,,
RU15,Благовещенск,Blagoveshchensk,Amur Oblast,RU,50.26,127.5337,ardac,723.5,False,,
RU16,Райчихинск,Raychikhinsk,Amur Oblast,RU,49.7968,129.4031,ardac,665.9,False,,
RU17,Шимановск,Shimanovsk,Amur Oblast,RU,51.9987,127.6719,ardac,602.3,False,,
RU18,Сковородино,Skovorodino,Amur Oblast,RU,53.9863,123.9373,ardac,770.1,False,,
RU19,Свободный,Svobodny,Amur Oblast,RU,51.3774,128.1348,ardac,612.4,False,,
RU20,Тында,Tynda,Amur Oblast,RU,55.1497,124.7376,ardac,700.4,False,,
RU21,Завитинск,Zavitinsk,Amur Oblast,RU,50.1112,129.4402,ardac,638.0,False,,
RU22,Зея,Zeya,Amur Oblast,RU,53.7404,127.2716,ardac,552.2,False,54.8113,135.3036
RU23,Архангельск,Arkhangelsk,Arkhangelsk Oblast,RU,64.543,40.5371,ardac,1.0,True,64.641,40.1719
RU24,Каргополь,Kargopol,Arkhangelsk Oblast,RU,61.5091,38.9408,ardac,259.0,False,63.8856,37.3351
RU25,Коряжма,Koryazhma,Arkhangelsk Oblast,RU,61.3153,47.1607,ardac,492.1,False,64.5779,39.9506
RU26,Котлас,Kotlas,Arkhangelsk Oblast,RU,61.2522,46.6476,ardac,478.9,False,64.5036,39.8834
RU27,Мезень,Mezen,Arkhangelsk Oblast,RU,65.844,44.2441,ardac,3.7,True,66.286,44.1226
RU28,Мирный,Mirny,Arkhangelsk Oblast,RU,62.5411,113.9786,ardac,1100.2,False,,
RU29,Новодвинск,Novodvinsk,Arkhangelsk Oblast,RU,64.4192,40.7938,ardac,19.0,True,64.6195,40.1662
RU30,Няндома,Nyandoma,Arkhangelsk Oblast,RU,61.6613,40.197,ardac,270.1,False,63.8771,37.5314
RU31,Онега,Onega,Arkhangelsk Oblast,RU,63.9116,38.0948,ardac,6.7,True,64.1267,37.9387
RU32,Северодвинск,Severodvinsk,Arkhangelsk Oblast,RU,64.5634,39.8238,ardac,2.5,True,64.5593,39.7238
RU33,Шенкурск,Shenkursk,Arkhangelsk Oblast,RU,62.1059,42.9076,ardac,291.4,False,64.4617,39.6749
RU34,Сольвычегодск,Solvychegodsk,Arkhangelsk Oblast,RU,61.3313,46.9189,ardac,482.0,False,64.4776,39.9428
RU35,Вельск,Velsk,Arkhangelsk Oblast,RU,61.0756,42.098,ardac,379.5,False,64.4656,39.9025
RU36,Ахтубинск,Akhtubinsk,Astrakhan Oblast,RU,48.2848,46.1644,ardac,309.4,False,,
RU37,Астрахань,Astrakhan,Astrakhan Oblast,RU,46.3498,48.0326,ardac,72.4,True,,
RU38,Камызяк,Kamyzyak,Astrakhan Oblast,RU,46.1205,48.0816,ardac,49.5,True,,
RU39,Харабали,Kharabali,Astrakhan Oblast,RU,47.4084,47.2539,ardac,190.6,False,,
RU40,Нариманов,Narimanov,Astrakhan Oblast,RU,46.6923,47.8512,ardac,107.8,False,,
RU41,Знаменск,Znamensk,Astrakhan Oblast,RU,54.6156,21.2274,ardac,31.7,True,55.0127,20.8698
RU42,Алексеевка,Alexeyevka,Belgorod Oblast,RU,54.8301,55.9974,ardac,1002.5,False,,
RU43,Белгород,Belgorod,Belgorod Oblast,RU,50.5956,36.5873,ardac,417.5,False,,
RU44,Бирюч,Biryuch,Belgorod Oblast,RU,50.6488,38.3964,ardac,465.0,False,,
RU45,Грайворон,Grayvoron,Belgorod Oblast,RU,50.4838,35.6712,ardac,401.7,False,,
RU46,Губкин,Gubkin,Belgorod Oblast,RU,51.2837,37.5347,ardac,503.3,False,,
RU47,Короча,Korocha,Belgorod Oblast,RU,50.8107,37.1953,ardac,448.8,False,,
RU48,Новый Оскол,Novy Oskol,Belgorod Oblast,RU,50.7644,37.8633,ardac,459.6,False,,
RU49,Шебекино,Shebekino,Belgorod Oblast,RU,50.4049,36.8797,ardac,401.9,False,,
RU50,Старый Оскол,Stary Oskol,Belgorod Oblast,RU,51.298,37.8332,ardac,511.4,False,,
RU51,Строитель,Stroitel,Belgorod Oblast,RU,50.7852,36.4854,ardac,436.2,False,,
RU52,Валуйки,Valuyki,Belgorod Oblast,RU,50.2113,38.1002,ardac,414.1,False,,
RU53,Брянск,Bryansk,Bryansk Oblast,RU,53.2424,34.3668,ardac,656.6,False,,
RU54,Дятьково,Dyatkovo,Bryansk Oblast,RU,53.6004,34.3336,ardac,691.8,False,,
RU55,Фокино,Fokino,Bryansk Oblast,RU,42.9772,132.4049,ardac,8.5,True,45.0549,136.9679
RU56,Карачев,Karachev,Bryansk Oblast,RU,53.1222,34.9826,ardac,660.5,False,,
RU57,Клинцы,Klintsy,Bryansk Oblast,RU,52.7585,32.2401,ardac,576.1,False,,
RU58,Мглин,Mglin,Bryansk Oblast,RU,53.0592,32.85,ardac,612.3,False,,
RU59,Новозыбков,Novozybkov,Bryansk Oblast,RU,52.5371,31.9337,ardac,551.7,False,,
RU60,Почеп,Pochep,Bryansk Oblast,RU,52.9288,33.4545,ardac,606.9,False,,
RU61,Сельцо,Seltso,Bryansk Oblast,RU,53.37,34.1006,ardac,663.7,False,,
RU62,Севск,Sevsk,Bryansk Oblast,RU,52.156,34.4946,ardac,553.2,False,,
RU63,Стародуб,Starodub,Bryansk Oblast,RU,52.5844,32.7601,ardac,561.8,False,,
RU64,Сураж,Surazh,Bryansk Oblast,RU,53.0132,32.3932,ardac,603.7,False,,
RU65,Трубчевск,Trubchevsk,Bryansk Oblast,RU,52.5835,33.7675,ardac,577.4,False,,
RU66,Унеча,Unecha,Bryansk Oblast,RU,52.845,32.67,ardac,588.2,False,,
RU67,Жуковка,Zhukovka,Bryansk Oblast,RU,53.533,33.7321,ardac,673.5,False,,
RU68,Злынка,Zlynka,Bryansk Oblast,RU,52.4274,31.7371,ardac,539.9,False,,
RU69,Аргун,Argun,Chechen Republic,RU,43.295,45.8689,ardac,168.8,False,,
RU70,Грозный,Grozny,Chechen Republic,RU,43.3197,45.6934,ardac,182.0,False,,
RU71,Гудермес,Gudermes,Chechen Republic,RU,43.357,46.1008,ardac,147.6,False,,
RU72,Шали,Shali,Chechen Republic,RU,43.1539,45.9066,ardac,172.3,False,,
RU73,Урус-Мартан,Urus-Martan,Chechen Republic,RU,43.1331,45.5384,ardac,202.3,False,,
RU74,Аша,Asha,Chelyabinsk Oblast,RU,54.9909,57.2781,ardac,1049.7,False,,
RU75,Бакал,Bakal,Chelyabinsk Oblast,RU,54.9367,58.8102,ardac,1088.2,False,,
RU76,Чебаркуль,Chebarkul,Chelyabinsk Oblast,RU,54.9778,60.3701,ardac,1146.7,False,,
RU77,Челябинск,Chelyabinsk,Chelyabinsk Oblast,RU,55.1598,61.4026,ardac,1203.0,False,,
RU78,Карабаш,Karabash,Chelyabinsk Oblast,RU,55.4886,60.2029,ardac,1185.8,False,,
RU79,Карталы,Kartaly,Chelyabinsk Oblast,RU,53.0533,60.6392,ardac,998.2,False,,
RU80,Касли,Kasli,Chelyabinsk Oblast,RU,55.8904,60.7539,ardac,1238.9,False,,
RU81,Катав-Ивановск,Katav-Ivanovsk,Chelyabinsk Oblast,RU,54.7535,58.2058,ardac,1052.2,False,,
RU82,Копейск,Kopeysk,Chelyabinsk Oblast,RU,55.1132,61.6216,ardac,1208.2,False,,
RU83,Коркино,Korkino,Chelyabinsk Oblast,RU,54.8899,61.408,ardac,1180.7,False,,
RU84,Куса,Kusa,Chelyabinsk Oblast,RU,55.3365,59.4459,ardac,1146.0,False,,
RU85,Кыштым,Kyshtym,Chelyabinsk Oblast,RU,55.7099,60.5511,ardac,1218.1,False,,
RU86,Магнитогорск,Magnitogorsk,Chelyabinsk Oblast,RU,53.4242,58.9831,ardac,957.1,False,,
RU87,Миасс,Miass,Chelyabinsk Oblast,RU,55.0506,60.1087,ardac,1143.3,False,,
RU88,Миньяр,Minyar,Chelyabinsk Oblast,RU,55.0709,57.5485,ardac,1064.4,False,,
RU89,Нязепетровск,Nyazepetrovsk,Chelyabinsk Oblast,RU,56.0555,59.5986,ardac,1217.6,False,,
RU90,Озёрск,Ozyorsk,Chelyabinsk Oblast,RU,54.4087,22.0144,ardac,77.3,True,55.1346,21.0496
RU91,Пласт,Plast,Chelyabinsk Oblast,RU,54.3698,60.8071,ardac,1112.2,False,,
RU92,Сатка,Satka,Chelyabinsk Oblast,RU,55.051,58.9723,ardac,1104.1,False,,
RU93,Сим,Sim,Chelyabinsk Oblast,RU,54.9873,57.6847,ardac,1059.9,False,,
RU94,Снежинск,Snezhinsk,Chelyabinsk Oblast,RU,56.087,60.7327,ardac,1219.5,False,,
RU95,Троицк,Troitsk,Chelyabinsk Oblast,RU,54.0848,61.5514,ardac,1121.8,False,,
RU96,Трёхгорный,Tryokhgorny,Chelyabinsk Oblast,RU,54.8151,58.4466,ardac,1065.4,False,,
RU97,Усть-Катав,Ust-Katav,Chelyabinsk Oblast,RU,54.9308,58.1748,ardac,1068.2,False,,
RU98,Верхнеуральск,Verkhneuralsk,Chelyabinsk Oblast,RU,53.8753,59.2198,ardac,1006.0,False,,
RU99,Верхний Уфалей,Verkhny Ufaley,Chelyabinsk Oblast,RU,56.052,60.2264,ardac,1233.8,False,,
RU100,Еманжелинск,Yemanzhelinsk,Chelyabinsk Oblast,RU,54.7591,61.3132,ardac,1165.9,False,,
RU101,Юрюзань,Yuryuzan,Chelyabinsk Oblast,RU,54.8701,58.4278,ardac,1070.0,False,,
RU102,Южноуральск,Yuzhnouralsk,Chelyabinsk Oblast,RU,54.4425,61.2683,ardac,1137.9,False,,
RU103,Златоуст,Zlatoust,Chelyabinsk Oblast,RU,55.1674,59.6793,ardac,1138.5,False,,
RU104,Анадырь,Anadyr,Chukotka Autonomous Okrug,RU,64.7317,177.5061,ardac,1.4,True,64.6083,177.5892
RU105,Билибино,Bilibino,Chukotka Autonomous Okrug,RU,68.055,166.4449,ardac,150.5,False,68.8106,169.4513
RU106,Наукан,Naukan,Chukotka Autonomous Okrug,RU,66.0192,-169.7082,ardac,0.7,True,66.0449,-169.6206
RU107,Певек,Pevek,Chukotka Autonomous Okrug,RU,69.7028,170.2747,ardac,1.5,True,69.7395,170.3473
RU108,Алатырь,Alatyr,Chuvash Republic,RU,54.8458,46.5627,ardac,919.7,False,,
RU109,Чебоксары,Cheboksary,Chuvash Republic,RU,56.1307,47.245,ardac,982.3,False,,
RU110,Канаш,Kanash,Chuvash Republic,RU,55.5114,47.5068,ardac,973.5,False,,
RU111,Козловка,Kozlovka,Chuvash Republic,RU,55.8415,48.2484,ardac,1000.6,False,,
RU112,Мариинский Посад,Mariinsky Posad,Chuvash Republic,RU,56.1178,47.7221,ardac,994.3,False,,
RU113,Новочебоксарск,Novocheboksarsk,Chuvash Republic,RU,56.114,47.487,ardac,989.3,False,,
RU114,Шумерля,Shumerlya,Chuvash Republic,RU,55.4985,46.4187,ardac,988.9,False,,
RU115,Цивильск,Tsivilsk,Chuvash Republic,RU,55.8661,47.4737,ardac,1011.0,False,,
RU116,Ядрин,Yadrin,Chuvash Republic,RU,55.9408,46.2007,ardac,980.3,False,,
RU117,Буйнакск,Buynaksk,Dagestan,RU,42.8261,47.122,ardac,123.0,False,,
RU118,Дагестанские Огни,Dagestanskiye Ogni,Dagestan,RU,42.1152,48.1864,ardac,188.6,False,,
RU119,Дербент,Derbent,Dagestan,RU,42.0579,48.2888,ardac,196.2,False,,
RU120,Избербаш,Izberbash,Dagestan,RU,42.5711,47.863,ardac,138.7,False,,
RU121,Каспийск,Kaspiysk,Dagestan,RU,42.8881,47.6425,ardac,106.4,False,,
RU122,Хасавюрт,Khasavyurt,Dagestan,RU,43.2469,46.5855,ardac,116.9,False,,
RU123,Кизилюрт,Kizilyurt,Dagestan,RU,43.1999,46.8713,ardac,101.9,False,,
RU124,Кизляр,Kizlyar,Dagestan,RU,43.8547,46.7139,ardac,80.6,True,,
RU125,Махачкала,Makhachkala,Dagestan,RU,42.983,47.5049,ardac,98.7,True,,
RU126,Южно-Сухокумск,Yuzhno-Sukhokumsk,Dagestan,RU,44.6622,45.6451,ardac,186.0,False,,
RU127,Карабулак,Karabulak,Ingushetia,RU,43.3095,44.9103,ardac,247.7,False,,
RU128,Магас,Magas,Ingushetia,RU,43.1666,44.8048,ardac,261.1,False,,
RU129,Малгобек,Malgobek,Ingushetia,RU,43.5127,44.587,ardac,270.3,False,,
RU130,Назрань,Nazran,Ingushetia,RU,43.2321,44.754,ardac,263.2,False,,
RU131,Алзамай,Alzamay,Irkutsk Oblast,RU,55.555,98.6654,ardac,1666.1,False,,
RU132,Ангарск,Angarsk,Irkutsk Oblast,RU,52.5443,103.8882,ardac,2121.5,False,,
RU133,Байкальск,Baykalsk,Irkutsk Oblast,RU,51.5172,104.141,ardac,2186.3,False,,
RU134,Бирюсинск,Biryusinsk,Irkutsk Oblast,RU,55.9643,97.8245,ardac,1600.8,False,,
RU135,Бодайбо,Bodaybo,Irkutsk Oblast,RU,57.85,114.204,ardac,1383.2,False,,
RU136,Братск,Bratsk,Irkutsk Oblast,RU,56.1517,101.6335,ardac,1715.3,False,,
RU137,Черемхово,Cheremkhovo,Irkutsk Oblast,RU,53.1484,103.0701,ardac,2037.3,False,,
RU138,Иркутск,Irkutsk,Irkutsk Oblast,RU,52.2891,104.2798,ardac,2144.8,False,,
RU139,Киренск,Kirensk,Irkutsk Oblast,RU,57.7764,108.1163,ardac,1636.0,False,,
RU140,Нижнеудинск,Nizhneudinsk,Irkutsk Oblast,RU,54.9085,99.0303,ardac,1737.9,False,,
RU141,Саянск,Sayansk,Irkutsk Oblast,RU,54.1123,102.1785,ardac,1918.0,False,,
