id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal
SK1,Abbey,,Saskatchewan,CA,50.7369,-108.76,ardac,1021.7,False
SK2,Aberdeen,,Saskatchewan,CA,52.327,-106.288,ardac,999.9,False
SK3,Aberfeldy,,Saskatchewan,CA,53.25,-109.883,ardac,999.7,False
SK4,Abernethy,,Saskatchewan,CA,50.7474,-103.416,ardac,973.6,False
SK5,Admiral,,Saskatchewan,CA,49.7134,-108.006,ardac,1066.8,False
SK6,Air Ronge,,Saskatchewan,CA,55.0833,-105.317,ardac,755.3,False
SK7,Alameda,,Saskatchewan,CA,49.2667,-102.283,ardac,1055.5,False
SK8,Albertville,,Saskatchewan,CA,53.3963,-105.541,ardac,881.1,False
SK9,Alice Beach,,Saskatchewan,CA,50.9257,-105.165,ardac,1044.1,False
SK10,Alida,,Saskatchewan,CA,49.389,-101.874,ardac,1028.0,False
SK11,Allan,,Saskatchewan,CA,51.8952,-106.053,ardac,1019.1,False
SK12,Alta Vista,,Saskatchewan,CA,50.8035,-104.968,ardac,1043.8,False
SK13,Alticane,,Saskatchewan,CA,52.9015,-107.481,ardac,1014.8,False
SK14,Alvena,,Saskatchewan,CA,52.5176,-106.02,ardac,972.0,False
SK15,Amazon,,Saskatchewan,CA,51.55,-105.45,ardac,1011.6,False
SK16,Amsterdam,,Saskatchewan,CA,51.7488,-102.46,ardac,846.4,False
SK17,Aneroid,,Saskatchewan,CA,49.7167,-107.3,ardac,1118.1,False
SK18,Annaheim,,Saskatchewan,CA,52.32,-104.818,ardac,923.4,False
SK19,Antler,,Saskatchewan,CA,49.5675,-101.458,ardac,995.3,False
SK20,Aquadeo,,Saskatchewan,CA,53.1319,-108.42,ardac,1046.8,False
SK21,Arborfield,,Saskatchewan,CA,53.1061,-103.661,ardac,808.1,False
SK22,Archerwill,,Saskatchewan,CA,52.439,-103.859,ardac,864.2,False
SK23,Arcola,,Saskatchewan,CA,49.6377,-102.492,ardac,1029.9,False
SK24,Ardill,,Saskatchewan,CA,49.9377,-105.844,ardac,1156.3,False
SK25,Arlington Beach,,Saskatchewan,CA,51.2479,-105.231,ardac,1022.7,False
SK26,Armit,,Saskatchewan,CA,52.8333,-101.783,ardac,729.0,False
SK27,Armley,,Saskatchewan,CA,53.1167,-104.033,ardac,827.6,False
SK28,Arran,,Saskatchewan,CA,51.8833,-101.717,ardac,800.5,False
SK29,Asquith,,Saskatchewan,CA,52.1336,-107.226,ardac,1060.3,False
SK30,Assiniboia,,Saskatchewan,CA,49.6305,-105.987,ardac,1188.4,False
SK31,Atwater,,Saskatchewan,CA,50.7768,-102.227,ardac,917.3,False
SK32,Auburnton,,Saskatchewan,CA,49.4048,-102.077,ardac,1034.5,False
SK33,Avonlea,,Saskatchewan,CA,50.0156,-105.056,ardac,1111.8,False
SK34,Aylesbury,,Saskatchewan,CA,50.9395,-105.692,ardac,1069.8,False
SK35,Aylsham,,Saskatchewan,CA,53.1937,-103.805,ardac,810.2,False
