id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_lat1,ocean_lon1
SE1,Abbekås,,Skåne,SE,55.399274,13.600275,ardac,0.6,True,55.3399,13.6942
SE2,Abborrberget,,Värmland,SE,59.712128,14.202896,ardac,164.5,False,60.6446,16.9823
SE3,Alberga,,Örebro,SE,59.456204,14.88012,ardac,117.3,False,58.836,17.0166
SE4,Alby,,Gotland,SE,57.819483,18.956528,ardac,2.2,True,57.7563,19.0476
SE5,Alfta,,Gävleborg,SE,61.345719,16.000104,ardac,59.0,True,61.2406,17.0714
SE6,Algutsrum,,Kalmar,SE,56.679426,16.529795,ardac,6.6,True,56.6321,16.3401
SE7,Alingsås,,Västra Götaland,SE,57.980745,12.45817,ardac,39.2,True,57.7758,11.9659
SE8,Allerum,,Skåne,SE,56.128579,12.668427,ardac,3.9,True,55.9137,12.7545
SE9,Almunge,,Uppsala,SE,59.877306,18.046123,ardac,36.8,True,60.1068,18.5295
SE10,Alsike,,Uppsala,SE,59.756626,17.763587,ardac,39.0,True,59.3478,18.3975
SE11,Alstad,,Skåne,SE,55.454374,13.209501,ardac,10.2,True,55.4022,13.03
SE12,Alsterbro,,Kalmar,SE,56.940257,15.913943,ardac,32.0,True,56.7101,16.2663
SE13,Alster,,Värmland,SE,59.398117,13.608431,ardac,131.7,False,59.2285,10.9627
SE14,Alstermo,,Kronoberg,SE,56.974271,15.65268,ardac,47.6,True,56.5758,16.2644
SE15,Alunda,,Uppsala,SE,60.066453,18.078071,ardac,23.6,True,60.1406,18.5247
SE16,Alvesta,,Kronoberg,SE,56.863826,14.44793,ardac,79.4,True,56.1698,14.7503
SE17,Alvhem,,Uppsala,SE,59.749985,17.761835,ardac,38.4,True,59.3412,18.3956
SE18,Alvik,,Stockholm,SE,59.3334,17.9803,ardac,6.6,True,59.2527,18.3793
SE19,Alvik,,Norrbotten,SE,65.566667,21.783333,ardac,4.8,True,65.5012,21.8916
SE20,Ambjörnarp,,Västra Götaland,SE,57.421314,13.294558,ardac,70.4,True,56.9127,12.4969
SE21,Ammenäs,,Västra Götaland,SE,58.311395,11.818407,ardac,0.7,True,58.2572,11.6268
SE22,Anderslöv,,Skåne,SE,55.438877,13.318682,ardac,10.7,True,55.3868,13.1391
SE23,Anderstorp,,Jönköping,SE,57.282982,13.636821,ardac,81.3,True,56.7824,12.5534
SE24,Aneby,,Jönköping,SE,57.874561,14.75443,ardac,98.9,True,57.8948,16.6275
SE25,Angelstad,,Kronoberg,SE,56.827591,13.763888,ardac,57.8,True,56.7968,12.7248
SE26,Angered,,Västra Götaland,SE,57.813166,12.118917,ardac,16.9,True,57.7594,11.9295
SE27,Ankarsrum,,Kalmar,SE,57.700892,16.334361,ardac,13.8,True,57.6395,16.4296
SE28,Ankarsvik,,Västernorrland,SE,62.373596,17.40904,ardac,2.3,True,62.3112,17.5157
SE29,Anneberg,,Halland,SE,57.539118,12.110653,ardac,9.2,True,57.4854,11.9227
SE30,Annelöv,,Skåne,SE,55.836544,13.019732,ardac,5.9,True,55.7841,12.8387
